symbol,close,dateTimeUtc,dateTimeEst
ZRXUSDT,0.2113,2023-10-14 23:00:00,2023-10-14 18:00:00
ZILUSDT,0.01633,2023-10-14 23:00:00,2023-10-14 18:00:00
ZENUSDT,7.36,2023-10-14 23:00:00,2023-10-14 18:00:00
ZECUSDT,24.94,2023-10-14 23:00:00,2023-10-14 18:00:00
YGGUSDT,0.2318,2023-10-14 23:00:00,2023-10-14 18:00:00
YFIUSDT,5111.0,2023-10-14 23:00:00,2023-10-14 18:00:00
XVSUSDT,4.65,2023-10-14 23:00:00,2023-10-14 18:00:00
XVGUSDT,0.00329,2023-10-14 23:00:00,2023-10-14 18:00:00
XTZUSDT,0.656,2023-10-14 23:00:00,2023-10-14 18:00:00
XRPUSDT,0.4866,2023-10-14 23:00:00,2023-10-14 18:00:00
XMRUSDT,152.8,2023-10-14 23:00:00,2023-10-14 18:00:00
XLMUSDT,0.1043,2023-10-14 23:00:00,2023-10-14 18:00:00
XEMUSDT,0.02494,2023-10-14 23:00:00,2023-10-14 18:00:00
WOOUSDT,0.1766,2023-10-14 23:00:00,2023-10-14 18:00:00
WLDUSDT,1.499,2023-10-14 23:00:00,2023-10-14 18:00:00
WAVESUSDT,1.476,2023-10-14 23:00:00,2023-10-14 18:00:00
VETUSDT,0.01638,2023-10-14 23:00:00,2023-10-14 18:00:00
UNIUSDT,4.084,2023-10-14 23:00:00,2023-10-14 18:00:00
UNFIUSDT,6.265,2023-10-14 23:00:00,2023-10-14 18:00:00
UMAUSDT,1.285,2023-10-14 23:00:00,2023-10-14 18:00:00
TUSDT,0.02247,2023-10-14 23:00:00,2023-10-14 18:00:00
TRXUSDT,0.08503,2023-10-14 23:00:00,2023-10-14 18:00:00
TRUUSDT,0.03382,2023-10-14 23:00:00,2023-10-14 18:00:00
TRBUSDT,51.72,2023-10-14 23:00:00,2023-10-14 18:00:00
TOMOUSDT,1.5037,2023-10-14 23:00:00,2023-10-14 18:00:00
TLMUSDT,0.00949,2023-10-14 23:00:00,2023-10-14 18:00:00
THETAUSDT,0.589,2023-10-14 23:00:00,2023-10-14 18:00:00
SXPUSDT,0.2678,2023-10-14 23:00:00,2023-10-14 18:00:00
SUSHIUSDT,0.543,2023-10-14 23:00:00,2023-10-14 18:00:00
SUIUSDT,0.4156,2023-10-14 23:00:00,2023-10-14 18:00:00
STXUSDT,0.5013,2023-10-14 23:00:00,2023-10-14 18:00:00
STRAXUSDT,0.73,2023-10-14 23:00:00,2023-10-14 18:00:00
STORJUSDT,0.4052,2023-10-14 23:00:00,2023-10-14 18:00:00
STMXUSDT,0.006467,2023-10-14 23:00:00,2023-10-14 18:00:00
STGUSDT,0.4176,2023-10-14 23:00:00,2023-10-14 18:00:00
SSVUSDT,13.23,2023-10-14 23:00:00,2023-10-14 18:00:00
SPELLUSDT,0.0004406,2023-10-14 23:00:00,2023-10-14 18:00:00
