type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,GBP/CAD,68.33,5,5,0,100.00%,1.05%,0.00%,1.05%,1000,1010.5,0.99%,0.00%,0.99%,1000,1009.9
total,EUR/USD,69.67,8,8,0,100.00%,2.40%,0.00%,2.40%,1000,1024,2.41%,0.00%,2.41%,1000,1024.09
total,GBP/AUD,63.67,8,8,0,100.00%,2.10%,0.00%,2.10%,1000,1021,2.17%,0.00%,2.17%,1000,1021.69
total,EUR/ZAR,67.33,9,8,0,88.89%,2.10%,0.00%,2.10%,1000,1021,2.42%,0.00%,2.42%,1000,1024.18
total,XAU/USD,63.17,9,8,1,88.89%,2.10%,-0.50%,1.60%,1000,1016,2.67%,-0.50%,2.17%,1000,1021.67
total,EUR/TRY,75,15,13,1,86.67%,2.85%,-0.50%,2.35%,1000,1023.5,3.42%,-0.50%,2.92%,1000,1029.17
total,USD/MXN,69.17,14,12,2,85.71%,3.30%,-1.00%,2.30%,1000,1023,3.75%,-1.00%,2.75%,1000,1027.47
total,USD/PLN,70.17,13,11,2,84.62%,3.15%,-1.00%,2.15%,1000,1021.5,4.10%,-1.00%,3.10%,1000,1030.95
total,TRY/JPY,82,12,10,2,83.33%,2.40%,-1.00%,1.40%,1000,1014,2.72%,-1.00%,1.72%,1000,1017.18
total,AUD/NZD,72.17,11,9,2,81.82%,2.85%,-1.00%,1.85%,1000,1018.5,3.30%,-1.00%,2.30%,1000,1022.97
total,AUD/CAD,72.83,13,10,3,76.92%,3.00%,-1.50%,1.50%,1000,1015,3.70%,-1.50%,2.20%,1000,1021.96
total,EUR/GBP,72.5,8,6,2,75.00%,0.90%,-1.00%,-0.10%,1000,999,0.90%,-1.00%,-0.10%,1000,999
total,AUD/CHF,63.83,8,6,2,75.00%,1.50%,-1.00%,0.50%,1000,1005,1.88%,-1.00%,0.88%,1000,1008.78
total,NZD/USD,68.33,16,12,4,75.00%,3.30%,-2.00%,1.30%,1000,1013,3.75%,-2.00%,1.75%,1000,1017.47
total,USD/THB,64,12,9,3,75.00%,2.85%,-1.50%,1.35%,1000,1013.5,3.55%,-1.50%,2.05%,1000,1020.46
total,NZD/CHF,77.33,14,10,4,71.43%,2.10%,-2.00%,0.10%,1000,1001,2.23%,-2.00%,0.23%,1000,1002.29
total,CAD/CHF,67.67,7,5,2,71.43%,1.35%,-1.00%,0.35%,1000,1003.5,1.23%,-1.00%,0.23%,1000,1002.3
total,NZD/CAD,72.5,13,9,3,69.23%,2.55%,-1.50%,1.05%,1000,1010.5,3.31%,-1.50%,1.81%,1000,1018.06
total,NZD/JPY,72,13,9,4,69.23%,2.85%,-2.00%,0.85%,1000,1008.5,3.30%,-2.00%,1.30%,1000,1012.97
total,USD/HUF,63.17,9,6,2,66.67%,2.10%,-1.00%,1.10%,1000,1011,2.36%,-1.00%,1.36%,1000,1013.58
total,CAD/JPY,65.67,6,4,1,66.67%,0.90%,-0.50%,0.40%,1000,1004,0.84%,-0.50%,0.34%,1000,1003.4
total,EUR/CZK,74.67,6,4,1,66.67%,1.20%,-0.50%,0.70%,1000,1007,1.58%,-0.50%,1.08%,1000,1010.78
total,GBP/JPY,64.5,9,6,3,66.67%,1.50%,-1.50%,0.00%,1000,1000,1.63%,-1.50%,0.13%,1000,1001.29
total,USD/CZK,69.67,12,8,4,66.67%,2.40%,-2.00%,0.40%,1000,1004,2.66%,-2.00%,0.66%,1000,1006.58
total,USD/CHF,28.17,6,4,2,66.67%,0.90%,-1.00%,-0.10%,1000,999,0.84%,-1.00%,-0.16%,1000,998.4
total,GBP/ZAR,65.17,17,11,6,64.71%,3.15%,-3.00%,0.15%,1000,1001.5,3.35%,-3.00%,0.35%,1000,1003.48
total,EUR/NOK,66.83,14,9,5,64.29%,2.25%,-2.50%,-0.25%,1000,997.5,2.57%,-2.50%,0.07%,1000,1000.68
total,EUR/HUF,58.17,14,9,5,64.29%,3.15%,-2.50%,0.65%,1000,1006.5,3.54%,-2.50%,1.04%,1000,1010.37
total,GBP/USD,72,16,10,6,62.50%,3.30%,-3.00%,0.30%,1000,1003,3.69%,-3.00%,0.69%,1000,1006.87
total,EUR/NZD,76,18,11,7,61.11%,2.85%,-3.50%,-0.65%,1000,993.5,3.11%,-3.50%,-0.39%,1000,996.08
total,USD/ZAR,75.67,10,6,3,60.00%,1.50%,-1.50%,0.00%,1000,1000,1.88%,-1.50%,0.38%,1000,1003.78
total,GBP/CHF,79.83,11,6,4,54.55%,1.20%,-2.00%,-0.80%,1000,992,1.14%,-2.00%,-0.86%,1000,991.4
total,GBP/NZD,76,12,6,6,50.00%,1.50%,-3.00%,-1.50%,1000,985,1.38%,-3.00%,-1.62%,1000,983.8
total,USD/JPY,45.5,8,4,4,50.00%,1.50%,-2.00%,-0.50%,1000,995,1.82%,-2.00%,-0.18%,1000,998.18
total,AUD/USD,67.5,8,4,4,50.00%,1.20%,-2.00%,-0.80%,1000,992,1.08%,-2.00%,-0.92%,1000,990.8
total,USD/NOK,65.67,11,5,6,45.45%,1.65%,-3.00%,-1.35%,1000,986.5,1.97%,-3.00%,-1.03%,1000,989.68
total,USD/CAD,60.83,11,5,6,45.45%,1.35%,-3.00%,-1.65%,1000,983.5,1.23%,-3.00%,-1.77%,1000,982.3
total,EUR/CHF,64.67,5,2,3,40.00%,0.30%,-1.50%,-1.20%,1000,988,0.30%,-1.50%,-1.20%,1000,988
total,EUR/AUD,33.17,5,2,3,40.00%,0.60%,-1.50%,-0.90%,1000,991,0.79%,-1.50%,-0.71%,1000,992.89
total,EUR/CAD,69.83,8,3,5,37.50%,0.45%,-2.50%,-2.05%,1000,979.5,0.45%,-2.50%,-2.05%,1000,979.5
total,AUD/JPY,75.5,9,3,6,33.33%,0.45%,-3.00%,-2.55%,1000,974.5,0.45%,-3.00%,-2.55%,1000,974.5
total,EUR/JPY,44.17,6,2,4,33.33%,0.60%,-2.00%,-1.40%,1000,986,0.54%,-2.00%,-1.46%,1000,985.4
