symbol,price,volume,volume_percent
BTC/USDT,"$24,603.77 ","$16,122,851,614 ",31.15%
ETH/USDT,"$1,669.22 ","$7,277,177,848 ",14.06%
BTC/USD,"$24,603.70 ","$2,642,605,200 ",5.11%
BTC/BUSD,"$24,605.76 ","$2,396,648,029 ",4.63%
ETH/USD,"$1,669.59 ","$1,219,175,090 ",2.36%
ETH/BUSD,"$1,669.09 ","$1,183,221,878 ",2.29%
SOL/USDT,$25.01 ,"$1,081,057,795 ",2.09%
FIL/USDT,$7.77 ,"$963,933,791 ",1.86%
BEL/USDT,$0.94 ,"$922,601,766 ",1.78%
NEO/USDT,$14.15 ,"$868,237,514 ",1.68%
XRP/USDT,$0.39 ,"$709,011,872 ",1.37%
LINA/USDT,$0.01 ,"$603,786,854 ",1.17%
MATIC/USDT,$1.41 ,"$595,690,314 ",1.15%
ETC/USDT,$23.44 ,"$524,147,570 ",1.01%
LTC/USDT,$93.06 ,"$494,378,244 ",0.96%
APT/USDT,$13.57 ,"$487,749,326 ",0.94%
FTM/USDT,$0.54 ,"$476,925,253 ",0.92%
SAND/USDT,$0.79 ,"$461,870,843 ",0.89%
BNB/USDT,$311.58 ,"$436,591,646 ",0.84%
DOGE/USDT,$0.09 ,"$388,286,741 ",0.75%
AVAX/USDT,$20.12 ,"$386,841,881 ",0.75%
IOST/USDT,$0.01 ,"$323,472,371 ",0.62%
LINK/USDT,$7.75 ,"$315,695,345 ",0.61%
ADA/USDT,$0.39 ,"$295,333,909 ",0.57%
DYDX/USDT,$2.76 ,"$293,224,054 ",0.57%
OP/USDT,$2.47 ,"$267,773,826 ",0.52%
BCH/USDT,$148.88 ,"$262,620,187 ",0.51%
GALA/USDT,$0.05 ,"$245,484,083 ",0.47%
CRV/USDT,$1.18 ,"$235,001,613 ",0.45%
NEAR/USDT,$2.56 ,"$234,264,518 ",0.45%
DOT/USDT,$7.27 ,"$230,284,316 ",0.44%
EOS/USDT,$1.22 ,"$220,245,287 ",0.43%
DODO/BUSD,$0.22 ,"$214,967,003 ",0.42%
UNFI/USDT,$7.09 ,"$203,717,951 ",0.39%
GRT/USDT,$0.17 ,"$192,635,424 ",0.37%
MASK/USDT,$4.03 ,"$183,455,891 ",0.35%
GMT/USDT,$0.44 ,"$181,506,183 ",0.35%
AXS/USDT,$10.84 ,"$181,150,210 ",0.35%
QTUM/USDT,$3.77 ,"$176,948,571 ",0.34%
SOL/BUSD,$25.00 ,"$173,295,538 ",0.33%
WAVES/USDT,$2.84 ,"$164,476,081 ",0.32%
MANA/USDT,$0.71 ,"$152,103,747 ",0.29%
APE/USDT,$5.69 ,"$151,260,907 ",0.29%
MTL/USDT,$1.45 ,"$138,634,264 ",0.27%
KLAY/USDT,$0.30 ,"$134,862,184 ",0.26%
LIT/USDT,$1.50 ,"$134,011,801 ",0.26%
OCEAN/USDT,$0.48 ,"$129,044,759 ",0.25%
LEVER/BUSD,$0.00 ,"$125,564,880 ",0.24%
LTC/USD,$93.08 ,"$121,282,410 ",0.23%
NKN/USDT,$0.14 ,"$118,992,773 ",0.23%
ONT/USDT,$0.28 ,"$116,349,429 ",0.22%
