symbol,close,dateTimeUtc,dateTimeEst
ZRXUSDT,0.8554,2024-03-12 03:45:00,2024-03-11 22:45:00
ZILUSDT,0.03696,2024-03-12 03:45:00,2024-03-11 22:45:00
ZENUSDT,13.66,2024-03-12 03:45:00,2024-03-11 22:45:00
ZECUSDT,34.28,2024-03-12 03:45:00,2024-03-11 22:45:00
YGGUSDT,1.025,2024-03-12 03:45:00,2024-03-11 22:45:00
YFIUSDT,10508.0,2024-03-12 03:45:00,2024-03-11 22:45:00
XVSUSDT,15.28,2024-03-12 03:45:00,2024-03-11 22:45:00
XVGUSDT,0.006627,2024-03-12 03:45:00,2024-03-11 22:45:00
XTZUSDT,1.526,2024-03-12 03:45:00,2024-03-11 22:45:00
XRPUSDT,0.6914,2024-03-12 03:45:00,2024-03-11 22:45:00
XNOUSDT,1.659,2024-03-12 03:45:00,2024-03-11 22:45:00
XLMUSDT,0.1517,2024-03-12 03:45:00,2024-03-11 22:45:00
XEMUSDT,0.05582,2024-03-12 03:45:00,2024-03-11 22:45:00
XECUSDT,6.421e-05,2024-03-12 03:45:00,2024-03-11 22:45:00
XAIUSDT,1.4688,2024-03-12 03:45:00,2024-03-11 22:45:00
WRXUSDT,0.3536,2024-03-12 03:45:00,2024-03-11 22:45:00
WOOUSDT,0.571,2024-03-12 03:45:00,2024-03-11 22:45:00
WNXMUSDT,82.72,2024-03-12 03:45:00,2024-03-11 22:45:00
WLDUSDT,10.109,2024-03-12 03:45:00,2024-03-11 22:45:00
WINUSDT,0.0001973,2024-03-12 03:45:00,2024-03-11 22:45:00
WINGUSDT,10.56,2024-03-12 03:45:00,2024-03-11 22:45:00
WIFUSDT,2.0058,2024-03-12 03:45:00,2024-03-11 22:45:00
WBTCUSDT,71515.77,2024-03-12 03:45:00,2024-03-11 22:45:00
WBETHUSDT,4150.02,2024-03-12 03:45:00,2024-03-11 22:45:00
WAXPUSDT,0.09752,2024-03-12 03:45:00,2024-03-11 22:45:00
WAVESUSDT,3.488,2024-03-12 03:45:00,2024-03-11 22:45:00
WANUSDT,0.3089,2024-03-12 03:45:00,2024-03-11 22:45:00
VTHOUSDT,0.004603,2024-03-12 03:45:00,2024-03-11 22:45:00
VOXELUSDT,0.383,2024-03-12 03:45:00,2024-03-11 22:45:00
VITEUSDT,0.03367,2024-03-12 03:45:00,2024-03-11 22:45:00
VIDTUSDT,0.04562,2024-03-12 03:45:00,2024-03-11 22:45:00
VICUSDT,0.8963,2024-03-12 03:45:00,2024-03-11 22:45:00
VGXUSDT,0.1381,2024-03-12 03:45:00,2024-03-11 22:45:00
VETUSDT,0.04964,2024-03-12 03:45:00,2024-03-11 22:45:00
VANRYUSDT,0.19327,2024-03-12 03:45:00,2024-03-11 22:45:00
UTKUSDT,0.1199,2024-03-12 03:45:00,2024-03-11 22:45:00
USTCUSDT,0.03547565,2024-03-12 03:45:00,2024-03-11 22:45:00
UNIUSDT,14.325,2024-03-12 03:45:00,2024-03-11 22:45:00
UNFIUSDT,8.517,2024-03-12 03:45:00,2024-03-11 22:45:00
UMAUSDT,4.775,2024-03-12 03:45:00,2024-03-11 22:45:00
UFTUSDT,0.497,2024-03-12 03:45:00,2024-03-11 22:45:00
TWTUSDT,1.6647,2024-03-12 03:45:00,2024-03-11 22:45:00
