symbol,close,dateTimeUtc,dateTimeEst
ZRXUSDT,0.8562,2024-03-12 03:45:00,2024-03-11 22:45:00
ZILUSDT,0.03696,2024-03-12 03:45:00,2024-03-11 22:45:00
ZENUSDT,13.63,2024-03-12 03:45:00,2024-03-11 22:45:00
ZECUSDT,34.28,2024-03-12 03:45:00,2024-03-11 22:45:00
YGGUSDT,1.0233,2024-03-12 03:45:00,2024-03-11 22:45:00
YFIUSDT,10515.0,2024-03-12 03:45:00,2024-03-11 22:45:00
XVSUSDT,15.29,2024-03-12 03:45:00,2024-03-11 22:45:00
XVGUSDT,0.006626,2024-03-12 03:45:00,2024-03-11 22:45:00
XTZUSDT,1.526,2024-03-12 03:45:00,2024-03-11 22:45:00
XRPUSDT,0.6918,2024-03-12 03:45:00,2024-03-11 22:45:00
XLMUSDT,0.1518,2024-03-12 03:45:00,2024-03-11 22:45:00
XEMUSDT,0.05582,2024-03-12 03:45:00,2024-03-11 22:45:00
XAIUSDT,1.4666,2024-03-12 03:45:00,2024-03-11 22:45:00
WOOUSDT,0.5706,2024-03-12 03:45:00,2024-03-11 22:45:00
WLDUSDT,10.089,2024-03-12 03:45:00,2024-03-11 22:45:00
WIFUSDT,2.0048,2024-03-12 03:45:00,2024-03-11 22:45:00
WAXPUSDT,0.09752,2024-03-12 03:45:00,2024-03-11 22:45:00
WAVESUSDT,3.488,2024-03-12 03:45:00,2024-03-11 22:45:00
VETUSDT,0.04966,2024-03-12 03:45:00,2024-03-11 22:45:00
USTCUSDT,0.03545246,2024-03-12 03:45:00,2024-03-11 22:45:00
UNIUSDT,14.322,2024-03-12 03:45:00,2024-03-11 22:45:00
UNFIUSDT,8.515,2024-03-12 03:45:00,2024-03-11 22:45:00
UMAUSDT,4.772,2024-03-12 03:45:00,2024-03-11 22:45:00
TWTUSDT,1.6637,2024-03-12 03:45:00,2024-03-11 22:45:00
TUSDT,0.0393,2024-03-12 03:45:00,2024-03-11 22:45:00
TRXUSDT,0.13304,2024-03-12 03:45:00,2024-03-11 22:45:00
TRUUSDT,0.08476,2024-03-12 03:45:00,2024-03-11 22:45:00
TLMUSDT,0.02989,2024-03-12 03:45:00,2024-03-11 22:45:00
TIAUSDT,18.02,2024-03-12 03:45:00,2024-03-11 22:45:00
THETAUSDT,3.46,2024-03-12 03:45:00,2024-03-11 22:45:00
SXPUSDT,0.5175,2024-03-12 03:45:00,2024-03-11 22:45:00
SUSHIUSDT,2.034,2024-03-12 03:45:00,2024-03-11 22:45:00
SUPERUSDT,1.4076,2024-03-12 03:45:00,2024-03-11 22:45:00
SUIUSDT,1.6083,2024-03-12 03:45:00,2024-03-11 22:45:00
STXUSDT,3.0421,2024-03-12 03:45:00,2024-03-11 22:45:00
STRKUSDT,2.504,2024-03-12 03:45:00,2024-03-11 22:45:00
STRAXUSDT,1.602,2024-03-12 03:45:00,2024-03-11 22:45:00
STPTUSDT,0.07924,2024-03-12 03:45:00,2024-03-11 22:45:00
STORJUSDT,0.8802,2024-03-12 03:45:00,2024-03-11 22:45:00
STMXUSDT,0.011571,2024-03-12 03:45:00,2024-03-11 22:45:00
STGUSDT,0.823,2024-03-12 03:45:00,2024-03-11 22:45:00
STEEMUSDT,0.3465,2024-03-12 03:45:00,2024-03-11 22:45:00
SSVUSDT,38.21,2024-03-12 03:45:00,2024-03-11 22:45:00
