name,symbol,option,Value,nasdaq
Tesla Inc,TSLA,Yes,44523866935,Yes
NVIDIA Corporation,NVDA,Yes,9964390942,Yes
Apple Inc.,AAPL,Yes,9022432760,Yes
Microsoft Corporation,MSFT,Yes,7741800000,Yes
Amazon.com Inc.,AMZN,Yes,5834857486,Yes
Meta Platforms Inc. Class A,META,Yes,4178716883,Yes
Advanced Micro Devices Inc.,AMD,Yes,3754388257,Yes
Alphabet Inc. Class A,GOOGL,Yes,3234705024,Yes
Alphabet Inc. Class C,GOOG,Yes,2941276050,Yes
Exxon Mobil Corporation,XOM,Yes,2309983624,No
Deere & Company,DE,Yes,2118322597,No
Johnson & Johnson,JNJ,Yes,1989140741,No
UnitedHealth Group Incorporated,UNH,Yes,1942169820,No
Netflix Inc.,NFLX,Yes,1842343812,Yes
Home Depot Inc.,HD,Yes,1585139725,No
Chevron Corporation,CVX,Yes,1565330485,No
Airbnb,ABNB,Yes,1498489588,Yes
Albemarle Corporation,ALB,Yes,1485698983,No
Union Pacific Corporation,UNP,Yes,1423991442,No
Devon Energy Corporation,DVN,Yes,1360688285,No
Salesforce Inc.,CRM,Yes,1335300348,No
Cisco Systems Inc.,CSCO,Yes,1285567478,Yes
Occidental Petroleum Corporation,OXY,Yes,1237695619,No
Eli Lilly and Company,LLY,Yes,1213667880,No
Walmart Inc.,WMT,Yes,1209140436,No
PayPal Holdings Inc.,PYPL,Yes,1183786562,Yes
ConocoPhillips,COP,Yes,1175983340,No
Pioneer Natural Resources Company,PXD,Yes,1167898336,No
Norfolk Southern Corporation,NSC,Yes,1143556245,No
JPMorgan Chase & Co.,JPM,Yes,1130637312,No
Procter & Gamble Company,PG,Yes,1124952348,No
Applied Materials Inc.,AMAT,Yes,1072102939,Yes
Adobe Incorporated,ADBE,Yes,1065518415,Yes
Boeing Company,BA,Yes,1055252096,No
Linde plc,LIN,Yes,1039024032,No
Merck & Co. Inc.,MRK,Yes,1037658192,No
Coca-Cola Company,KO,Yes,1010893752,No
Visa Inc. Class A,V,Yes,1010558268,No
Bank of America Corp,BAC,Yes,1009691445,No
Walt Disney Company,DIS,Yes,998758762,No
Mastercard Incorporated Class A,MA,Yes,981948583,No
Caterpillar Inc.,CAT,Yes,931492168,No
Intel Corporation,INTC,Yes,885900009.6,Yes
ServiceNow Inc.,NOW,Yes,862215640,No
