symbol,name,price,exchange,exchangeShortName,type
BETS,Bit Brother Limited,2.36,NASDAQ Capital Market,NASDAQ,stock
ERAS,"Erasca, Inc.",1.92,NASDAQ Global Select,NASDAQ,stock
DSP,Viant Technology Inc.,8.28,NASDAQ Global Select,NASDAQ,stock
ETON,"Eton Pharmaceuticals, Inc.",4.45,NASDAQ Global Market,NASDAQ,stock
DTSS,Datasea Inc.,7.3,NASDAQ Capital Market,NASDAQ,stock
BMRA,"Biomerica, Inc.",1.08,NASDAQ Capital Market,NASDAQ,stock
ABOS,"Acumen Pharmaceuticals, Inc.",3.35,NASDAQ Global Select,NASDAQ,stock
CRNT,Ceragon Networks Ltd.,2.92,NASDAQ Global Select,NASDAQ,stock
ATHA,"Athira Pharma, Inc.",3.7,NASDAQ Global Select,NASDAQ,stock
LPSN,"LivePerson, Inc.",2.39,NASDAQ Global Select,NASDAQ,stock
FENC,Fennec Pharmaceuticals Inc.,8.88,NASDAQ Capital Market,NASDAQ,stock
ICU,SeaStar Medical Holding Corporation,1.45,NASDAQ Capital Market,NASDAQ,stock
FNGR,"FingerMotion, Inc.",2.51,NASDAQ Capital Market,NASDAQ,stock
ACET,"Adicet Bio, Inc.",2.69,NASDAQ Global Market,NASDAQ,stock
CMTL,Comtech Telecommunications Corp.,7.15,NASDAQ Global Select,NASDAQ,stock
AOUT,"American Outdoor Brands, Inc.",8.28,NASDAQ Global Select,NASDAQ,stock
CCTG,CCSC Technology International Holdings Limited Ordinary Shares,2.99,Nasdaq,NASDAQ,stock
LFVN,LifeVantage Corporation,6.98,NASDAQ Capital Market,NASDAQ,stock
ADV,Advantage Solutions Inc.,3.84,NASDAQ Global Select,NASDAQ,stock
DH,Definitive Healthcare Corp.,9.22,NASDAQ Global Select,NASDAQ,stock
ABSI,Absci Corporation,4.915,NASDAQ Global Select,NASDAQ,stock
FLGC,Flora Growth Corp.,1.02,NASDAQ Capital Market,NASDAQ,stock
BITF,Bitfarms Ltd.,3.15,NASDAQ Global Market,NASDAQ,stock
GDRX,"GoodRx Holdings, Inc.",6.54,NASDAQ Global Select,NASDAQ,stock
EYEN,"Eyenovia, Inc.",1.59,NASDAQ Capital Market,NASDAQ,stock
GLDD,Great Lakes Dredge & Dock Corporation,8.56,NASDAQ Global Select,NASDAQ,stock
APPS,"Digital Turbine, Inc.",3.43,NASDAQ Capital Market,NASDAQ,stock
IBRX,"ImmunityBio, Inc.",4.68,NASDAQ Global Select,NASDAQ,stock
MNY,MoneyHero Limited Class A Ordinary Shares,2.57,NASDAQ,NASDAQ,stock
ACB,Aurora Cannabis Inc.,3.4,NASDAQ Global Select,NASDAQ,stock
LPTX,"Leap Therapeutics, Inc.",3.01,NASDAQ Global Market,NASDAQ,stock
BVS,Bioventus Inc.,4.39,NASDAQ Global Select,NASDAQ,stock
CNEY,CN Energy Group. Inc.,1.6,NASDAQ Capital Market,NASDAQ,stock
GFAI,"Guardforce AI Co., Limited",2.67,NASDAQ Capital Market,NASDAQ,stock
LFST,"LifeStance Health Group, Inc.",6.31,NASDAQ Global Select,NASDAQ,stock
LFMD,"LifeMD, Inc.",7.12,NASDAQ Global Market,NASDAQ,stock
LNZA,"LanzaTech Global, Inc.",3.5,NASDAQ Capital Market,NASDAQ,stock
ASLE,AerSale Corporation,9.29,NASDAQ Capital Market,NASDAQ,stock
CTKB,"Cytek Biosciences, Inc.",8.45,NASDAQ Global Select,NASDAQ,stock
