symbol,name,price,exchange,exchangeShortName,type
DDD,3D Systems Corporation,5.1,New York Stock Exchange,NYSE,stock
SAN,"Banco Santander, S.A.",4.09,New York Stock Exchange,NYSE,stock
DOUG,Douglas Elliman Inc.,1.9,New York Stock Exchange,NYSE,stock
NOK,Nokia Oyj,3.53,New York Stock Exchange,NYSE,stock
MITT,"AG Mortgage Investment Trust, Inc.",5.96,New York Stock Exchange,NYSE,stock
AHT,"Ashford Hospitality Trust, Inc.",1.58,New York Stock Exchange,NYSE,stock
ICL,ICL Group Ltd,4.88,New York Stock Exchange,NYSE,stock
LEJU,Leju Holdings Limited,1.37,New York Stock Exchange,NYSE,stock
NIO,NIO Inc.,5.97,New York Stock Exchange,NYSE,stock
BBDO,Banco Bradesco S.A.,2.58,New York Stock Exchange,NYSE,stock
OUST,"Ouster, Inc.",5.44,New York Stock Exchange,NYSE,stock
QS,QuantumScape Corporation,6.45,New York Stock Exchange,NYSE,stock
EGY,"VAALCO Energy, Inc.",4.29,New York Stock Exchange,NYSE,stock
DNMR,"Danimer Scientific, Inc.",1.1,New York Stock Exchange,NYSE,stock
FINV,FinVolution Group,5.08,New York Stock Exchange,NYSE,stock
NWG,NatWest Group plc,5.91,New York Stock Exchange,NYSE,stock
FF,FutureFuel Corp.,5.85,New York Stock Exchange,NYSE,stock
RCS,"PIMCO Strategic Income Fund, Inc.",6.14,New York Stock Exchange,NYSE,stock
GROV,"Grove Collaborative Holdings, Inc.",1.73,New York Stock Exchange,NYSE,stock
ADCT,ADC Therapeutics SA,4.69,New York Stock Exchange,NYSE,stock
HYLN,Hyliion Holdings Corp.,1.37,New York Stock Exchange,NYSE,stock
CURV,Torrid Holdings Inc.,4.19,New York Stock Exchange,NYSE,stock
BKD,Brookdale Senior Living Inc.,5.5,New York Stock Exchange,NYSE,stock
LAAC,Lithium Americas (Argentina) Corp.,4.06,New York Stock Exchange,NYSE,stock
FUBO,fuboTV Inc.,1.93,New York Stock Exchange,NYSE,stock
SST,"System1, Inc.",1.84,New York Stock Exchange,NYSE,stock
CCO,"Clear Channel Outdoor Holdings, Inc.",1.61,New York Stock Exchange,NYSE,stock
HPP,"Hudson Pacific Properties, Inc.",6.69,New York Stock Exchange,NYSE,stock
ICD,"Independence Contract Drilling, Inc.",2.0,New York Stock Exchange,NYSE,stock
AMPY,Amplify Energy Corp.,6.19,New York Stock Exchange,NYSE,stock
SOS,SOS Limited,3.44,New York Stock Exchange,NYSE,stock
OLO,Olo Inc.,5.78,New York Stock Exchange,NYSE,stock
LAC,Lithium Americas Corp.,4.33,New York Stock Exchange,NYSE,stock
MX,Magnachip Semiconductor Corporation,6.39,New York Stock Exchange,NYSE,stock
PGRE,"Paramount Group, Inc.",4.71,New York Stock Exchange,NYSE,stock
GBTG,"Global Business Travel Group, Inc.",5.85,New York Stock Exchange,NYSE,stock
AG,First Majestic Silver Corp.,4.45,New York Stock Exchange,NYSE,stock
AJX,Great Ajax Corp.,4.92,New York Stock Exchange,NYSE,stock
SHCO,Soho House & Co Inc.,5.57,New York Stock Exchange,NYSE,stock
STEM,"Stem, Inc.",2.82,New York Stock Exchange,NYSE,stock
QUAD,"Quad/Graphics, Inc.",5.88,New York Stock Exchange,NYSE,stock
SAVE,"Spirit Airlines, Inc.",6.51,New York Stock Exchange,NYSE,stock
ALUR,Allurion Technologies Inc.,3.0,New York Stock Exchange,NYSE,stock
LU,Lufax Holding Ltd,2.6,New York Stock Exchange,NYSE,stock
NRGV,"Energy Vault Holdings, Inc.",1.75,New York Stock Exchange,NYSE,stock
GB,Global Blue Group Holding AG,4.71,New York Stock Exchange,NYSE,stock
RSI,"Rush Street Interactive, Inc.",5.5,New York Stock Exchange,NYSE,stock
CIM,Chimera Investment Corporation,4.34,New York Stock Exchange,NYSE,stock
VHC,VirnetX Holding Corp,6.95,New York Stock Exchange,NYSE,stock
AVAL,Grupo Aval Acciones y Valores S.A.,2.57,New York Stock Exchange,NYSE,stock
EXTO,Almacenes Éxito S.A.,5.05,New York Stock Exchange,NYSE,stock
ETWO,"E2open Parent Holdings, Inc.",4.11,New York Stock Exchange,NYSE,stock
TCS,"The Container Store Group, Inc.",1.21,New York Stock Exchange,NYSE,stock
FTK,"Flotek Industries, Inc.",3.08,New York Stock Exchange,NYSE,stock
GHG,GreenTree Hospitality Group Ltd.,3.13,New York Stock Exchange,NYSE,stock
OSG,"Overseas Shipholding Group, Inc.",6.16,New York Stock Exchange,NYSE,stock
SES,SES AI Corporation,1.39,New York Stock Exchange,NYSE,stock
HLLY,Holley Inc.,4.57,New York Stock Exchange,NYSE,stock
FRGE,"Forge Global Holdings, Inc.",1.88,New York Stock Exchange,NYSE,stock
FENG,Phoenix New Media Limited,1.48,New York Stock Exchange,NYSE,stock
SKLZ,Skillz Inc.,6.49,New York Stock Exchange,NYSE,stock
NGL,NGL Energy Partners LP,5.77,New York Stock Exchange,NYSE,stock
INN,"Summit Hotel Properties, Inc.",6.57,New York Stock Exchange,NYSE,stock
PDM,"Piedmont Office Realty Trust, Inc.",6.55,New York Stock Exchange,NYSE,stock
RLX,RLX Technology Inc.,2.03,New York Stock Exchange,NYSE,stock
CULP,"Culp, Inc.",4.96,New York Stock Exchange,NYSE,stock
DHX,"DHI Group, Inc.",2.53,New York Stock Exchange,NYSE,stock
NMG,Nouveau Monde Graphite Inc.,2.64,New York Stock Exchange,NYSE,stock
JMIA,Jumia Technologies AG,4.19,New York Stock Exchange,NYSE,stock
SBSW,Sibanye Stillwater Limited,4.28,New York Stock Exchange,NYSE,stock
ABEV,Ambev S.A.,2.6,New York Stock Exchange,NYSE,stock
AMWL,American Well Corporation,1.15,New York Stock Exchange,NYSE,stock
DDL,Dingdong (Cayman) Limited,1.14,New York Stock Exchange,NYSE,stock
MBI,MBIA Inc.,6.7,New York Stock Exchange,NYSE,stock
SPRU,Spruce Power Holding Corporation,3.68,New York Stock Exchange,NYSE,stock
SMRT,"SmartRent, Inc.",2.89,New York Stock Exchange,NYSE,stock
CLPR,Clipper Realty Inc.,4.94,New York Stock Exchange,NYSE,stock
EFXT,Enerflex Ltd.,5.18,New York Stock Exchange,NYSE,stock
ACHR,Archer Aviation Inc.,5.05,New York Stock Exchange,NYSE,stock
