description,symbol,finhub_symbol,forex.com,x
Oanda AUD/CAD,AUD/CAD,OANDA:AUD_CAD,Forex.com AUD/CAD,y
Oanda AUD/CHF,AUD/CHF,OANDA:AUD_CHF,Forex.com AUD/CHF,y
Oanda AUD/USD,AUD/USD,OANDA:AUD_USD,Forex.com AUD/USD,y
Oanda EUR/AUD,EUR/AUD,OANDA:EUR_AUD,Forex.com EUR/AUD,y
Oanda EUR/CAD,EUR/CAD,OANDA:EUR_CAD,Forex.com EUR/CAD,y
Oanda EUR/CHF,EUR/CHF,OANDA:EUR_CHF,Forex.com EUR/CHF,y
Oanda EUR/GBP,EUR/GBP,OANDA:EUR_GBP,Forex.com EUR/GBP,y
Oanda EUR/USD,EUR/USD,OANDA:EUR_USD,Forex.com EUR/USD,y
Oanda GBP/AUD,GBP/AUD,OANDA:GBP_AUD,Forex.com GBP/AUD,y
Oanda GBP/CAD,GBP/CAD,OANDA:GBP_CAD,Forex.com GBP/CAD,y
Oanda USD/CAD,USD/CAD,OANDA:USD_CAD,Forex.com USD/CAD,y
Oanda USD/CHF,USD/CHF,OANDA:USD_CHF,Forex.com USD/CHF,y
Oanda USD/JPY,USD/JPY,OANDA:USD_JPY,Forex.com USD/JPY,y
Oanda GBP/CHF,GBP/CHF,OANDA:GBP_CHF,Forex.com GBP/CHF,y
Oanda GBP/USD,GBP/USD,OANDA:GBP_USD,Forex.com GBP/USD,y
Oanda USD/TRY,USDTRY,OANDA:USDTRY,Forex.com USDTRY,y
Oanda NZD/USD,NZD/USD,OANDA:NZD/USD,Forex.com USDTRY,y
Oanda EUR/JPY,EUR/JPY,OANDA:EUR/JPY,Forex.com EUR/JPY,y
