Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,vlaue
TSLA,Tesla Inc,208.31,6.27,3.10%,208.44,197.5,213738500,2/17/23,44523866935
SPY,S&P 500 SPDR,407.26,-1.02,-0.25%,407.51,404.05,89257800,2/17/23,36351131628
QQQ,Nasdaq QQQ Invesco ETF,301.16,-2.14,-0.71%,301.93,298.1,58230703,2/17/23,17536758515
NVDA,Nvidia Corp,213.88,-6.14,-2.79%,217.4,209.75,46588699,2/17/23,9964390942
AAPL,Apple Inc,152.55,-1.16,-0.75%,153,150.85,59144102,2/17/23,9022432760
MSFT,Microsoft Corp,258.06,-4.09,-1.56%,260.09,256,30000000,2/17/23,7741800000
AMZN,Amazon.com Inc,97.2,-0.95,-0.97%,97.94,95.65,60029398,2/17/23,5834857486
HYG,High Yield Corp Bond Ishares Iboxx $ ETF,74.56,0.29,0.39%,74.68,73.87,75910300,2/17/23,5659871968
SQQQ,Ultrapro Short QQQ -3X ETF,36.29,0.79,2.23%,37.38,36.03,150171813,2/17/23,5449735094
TQQQ,Ultrapro QQQ 3X ETF,24.04,-0.53,-2.16%,24.23,23.3,194902406,2/17/23,4685453840
IWM,Russell 2000 Ishares ETF,193.13,0.53,0.28%,193.3699,190.97,23892200,2/17/23,4614300586
META,Meta Platforms Inc,172.88,0.44,0.26%,173.18,169.7,24171199,2/17/23,4178716883
AMD,Adv Micro Devices,78.5,-1.58,-1.97%,79.65,77.37,47826602,2/17/23,3754388257
GOOGL,Alphabet Cl A,94.35,-1.16,-1.21%,95.56,93.21,34284102,2/17/23,3234705024
GOOG,Alphabet Cl C,94.59,-1.19,-1.24%,95.75,93.45,31095000,2/17/23,2941276050
XOM,Exxon Mobil Corp,111.28,-4.45,-3.85%,114.19,110.9799,20758300,2/17/23,2309983624
DE,Deere & Company,433.31,30.35,7.53%,436.38,415.5,4888700,2/17/23,2118322597
JNK,High Yield Bond ETF SPDR,91.38,0.3,0.33%,91.575,90.52,22064500,2/17/23,2016254010
TLT,20+ Year Treas Bond Ishares ETF,102.38,0.79,0.78%,102.38,100.96,19560801,2/17/23,2002634806
JNJ,Johnson & Johnson,160.39,2.15,1.36%,161.11,156.62,12401900,2/17/23,1989140741
LQD,Invst Grade Corp Bond Ishares Iboxx $ ETF,107.04,0.42,0.39%,107.04,106.22,18528900,2/17/23,1983333456
UNH,Unitedhealth Group Inc,499.08,11.73,2.41%,499.46,487.35,3891500,2/17/23,1942169820
ARKK,Ark Innovation ETF,41.86,-0.16,-0.38%,41.995,40.73,46103700,2/17/23,1929900882
XLE,S&P 500 Energy Sector SPDR,84.49,-3.12,-3.56%,86.31,84.12,22340200,2/17/23,1887523498
NFLX,Netflix Inc,347.96,-2.75,-0.78%,349,342.44,5294700,2/17/23,1842343812
BABA,Alibaba Group Holding ADR,100.01,-3.1,-3.01%,101.09,99.25,18121600,2/17/23,1812341216
DKNG,Draftkings Inc,20.54,2.73,15.33%,21.2,19.28,81838703,2/17/23,1680966960
HD,Home Depot,317.95,-3.29,-1.02%,320.6,312.95,4985500,2/17/23,1585139725
CVX,Chevron Corp,162.85,-3.72,-2.23%,164.84,161.85,9612100,2/17/23,1565330485
COIN,Coinbase Global Inc Cl A,65.2,-0.39,-0.59%,67.9,61.51,23252102,2/17/23,1516037050
ABNB,Airbnb Inc Cl A,131.6,-7.82,-5.61%,138.4,130.73,11386699,2/17/23,1498489588
ALB,Albemarle Corp,258.01,-27.61,-9.67%,279.04,252.52,5758300,2/17/23,1485698983
DASH,Doordash Inc Cl A,61.81,-5.08,-7.59%,70.05,60.42,23601400,2/17/23,1458802534
UNP,Union Pacific Corp,201.59,1.07,0.53%,201.65,198.5576,7063800,2/17/23,1423991442
ROKU,Roku Inc,71.56,0.99,1.40%,73.48,68.42,19891100,2/17/23,1423407116
EEM,Emerging Markets Ishares MSCI ETF,39.68,-0.44,-1.10%,39.785,39.52,35131600,2/17/23,1394021888
XLV,S&P 500 Healthcare Sector SPDR,131.99,1.17,0.89%,132.23,130.08,10434400,2/17/23,1377236456
DVN,Devon Energy Corp,53.33,-2.39,-4.29%,54.8,52.45,25514500,2/17/23,1360688285
CRM,Salesforce Inc,165.17,-2.94,-1.75%,167.11,162.74,8084400,2/17/23,1335300348
XLF,S&P 500 Financials Sector SPDR,36.39,0.01,0.03%,36.435,36.09,35884800,2/17/23,1305847872
CSCO,Cisco Systems Inc,50.77,-0.22,-0.43%,51.44,50.6,25321400,2/17/23,1285567478
SOXL,Semiconductor Bull 3X Direxion,15.5,-0.78,-4.79%,16.12,15.04,82870900,2/17/23,1284498950
OXY,Occidental Petroleum Corp,60.73,-1.77,-2.83%,61.62,60.05,20380300,2/17/23,1237695619
VOO,S&P 500 ETF Vanguard,374.22,-0.97,-0.26%,374.45,371.32,3285300,2/17/23,1229424966
SNOW,Snowflake Inc Cl A,154.08,-10.32,-6.28%,160.77,151.55,7951400,2/17/23,1225151712
LLY,Eli Lilly and Company,328.4,2.33,0.71%,331.585,320.5,3695700,2/17/23,1213667880
WMT,Walmart Inc,146.44,2.17,1.50%,146.69,144.57,8256900,2/17/23,1209140436
PYPL,Paypal Holdings,74.66,-2.07,-2.70%,76.33,73.59,15855700,2/17/23,1183786562
COP,Conocophillips,104.12,-4.24,-3.91%,106.67,103.17,11294500,2/17/23,1175983340
PXD,Pioneer Natural Resources Company,208.96,-7.41,-3.42%,214.88,206.45,5589100,2/17/23,1167898336
SHOP,Shopify Inc,43.61,-1.3,-2.89%,45.03,42.92,26415300,2/17/23,1151971233
NSC,Norfolk Southern Corp,228.15,-1.87,-0.81%,232.62,226.5,5012300,2/17/23,1143556245
JPM,JP Morgan Chase & Company,142.24,0.42,0.30%,142.83,140.07,7948800,2/17/23,1130637312
PG,Procter & Gamble Company,140.01,2.87,2.09%,140.04,136.59,8034800,2/17/23,1124952348
SOXS,Semiconductor Bear -3X Direxion,21.21,0.98,4.84%,21.8,20.45,51427600,2/17/23,1090779396
AMAT,Applied Materials,115.44,0.05,0.04%,117.4,113.38,9287101,2/17/23,1072102939
ADBE,Adobe Systems Inc,356.85,-8.31,-2.28%,359.61,352.12,2985900,2/17/23,1065518415
FXI,China Largecap Ishares ETF,29.53,-0.61,-2.02%,29.69,29.34,35919100,2/17/23,1060691023
BA,Boeing Company,211.66,-0.55,-0.26%,211.76,207.6196,4985600,2/17/23,1055252096
LIN,Linde Plc,321.52,-1.98,-0.61%,323.38,319.23,3231600,2/17/23,1039024032
MRK,Merck & Company,109.52,3.01,2.83%,109.54,105.52,9474600,2/17/23,1037658192
HUBS,Hubspot Inc,404.65,42.72,11.80%,418.39,394.45,2558500,2/17/23,1035297025
DIA,Dow Industrials SPDR,338.29,0.9,0.27%,338.43,335.08,3034100,2/17/23,1026405689
TSM,Taiwan Semiconductor ADR,90.1,-0.72,-0.79%,90.3,88.94,11235200,2/17/23,1012291520
KO,Coca-Cola Company,60.12,0.9,1.52%,60.23,59.38,16814600,2/17/23,1010893752
V,Visa Inc,223.56,-2.27,-1.01%,224.7719,221.74,4520300,2/17/23,1010558268
BAC,Bank of America Corp,35.35,0.07,0.20%,35.39,34.745,28562700,2/17/23,1009691445
DIS,Walt Disney Company,105.22,-0.61,-0.58%,105.8,103.88,9492100,2/17/23,998758762
MA,Mastercard Inc,361.13,-6.42,-1.75%,366.7,359.8,2719100,2/17/23,981948583
EFA,EAFE Ishares MSCI ETF,71.02,0.18,0.25%,71.095,70.385,13768200,2/17/23,977817564
UBER,Uber Technologies Inc,34.77,-1.45,-4.00%,36.23,34.57,27946700,2/17/23,971706759
RBLX,Roblox Corp Cl A,40.88,-2.7,-6.20%,42.71,40.605,22918100,2/17/23,936891928
CAT,Caterpillar Inc,247.79,1.27,0.52%,250.86,245.63,3759200,2/17/23,931492168
XOP,S&P Oil & Gas Expl & Prod SPDR,130.62,-5.88,-4.31%,134.59,129.72,7058400,2/17/23,921968208
SMH,Vaneck Semiconductor ETF,242.77,-3.36,-1.37%,245.16,240.6,3787400,2/17/23,919467098
XLI,S&P 500 Industrial Sector SPDR,103.03,0.67,0.65%,103.09,101.89,8778900,2/17/23,904490067
INTC,Intel Corp,27.61,-0.59,-2.09%,28.07,27.38,32086201,2/17/23,885900009.6
SPXL,S&P 500 Bull 3X Direxion,73.2,-0.65,-0.88%,73.34,71.46,11919300,2/17/23,872492760
NOW,Servicenow Inc,439.01,-14.68,-3.24%,452.97,434.39,1964000,2/17/23,862215640
AVGO,Broadcom Ltd,595.59,-4.95,-0.82%,600.85,592.45,1421500,2/17/23,846631185
SQ,Block Inc,75.02,-3.61,-4.59%,77.03,74.17,11261600,2/17/23,844845232
MRNA,Moderna Inc,166.6,-5.71,-3.31%,166.72,160.66,5056900,2/17/23,842479540
BRK.B,Berkshire Hathaway Cl B,308.24,0.06,0.02%,308.41,305.48,2721400,2/17/23,838844336
ENPH,Enphase Energy Inc,204.99,2.19,1.08%,206.58,202.04,4082700,2/17/23,836912673
IVV,S&P 500 Ishares Core ETF,409.14,-1.14,-0.28%,409.39,405.95,2039000,2/17/23,834236460
MCD,McDonald's Corp,269.99,4.16,1.56%,270,265.33,3055800,2/17/23,825035442
GLD,Gold SPDR,171.26,0.51,0.30%,171.47,169.52,4809700,2/17/23,823709222
XLP,S&P 500 Cons Staples Sector SPDR,73.68,0.94,1.29%,73.71,72.53,11116100,2/17/23,819034248
MS,Morgan Stanley,99.51,-0.06,-0.06%,100.02,98.3,8133000,2/17/23,809314830
BMY,Bristol-Myers Squibb Company,71.11,0.26,0.37%,71.74,70.52,11131700,2/17/23,791575187
PFE,Pfizer Inc,43.21,0.26,0.61%,43.37,42.58,18293400,2/17/23,790457814
QCOM,Qualcomm Inc,127.72,-2.44,-1.87%,129.81,126.96,6022500,2/17/23,769193700
EMB,USD Emrg Mkts Bond Ishares JPM ETF,85.37,0.03,0.04%,85.43,85,8941400,2/17/23,763327318
XBI,S&P Biotech SPDR,86.8,2.03,2.39%,87.02,84.22,8704200,2/17/23,755524560
ACN,Accenture Plc,277.05,-4.17,-1.48%,279.4,274.91,2722600,2/17/23,754296330
ASML,Asml Holdings NY Reg ADR,651.93,-4.35,-0.66%,657.99,647.39,1149800,2/17/23,749589114
XLU,S&P 500 Utilities Sector SPDR,68.48,0.73,1.08%,68.8,67.41,10936700,2/17/23,748945216
XLK,S&P 500 Technology Sector SPDR,139.82,-1.77,-1.25%,140.74,138.6,5303300,2/17/23,741507406
LOW,Lowe's Companies,212.75,-1.26,-0.59%,213.71,208.9,3462000,2/17/23,736540500
SBUX,Starbucks Corp,107.1,-0.44,-0.41%,107.46,106.23,6876400,2/17/23,736462440
EOG,Eog Resources,118.42,-6.72,-5.37%,122.62,117.39,6201900,2/17/23,734428998
