name,symbol,option,Value,nasdaq
Tesla Inc,TSLA,Yes,44523866935.0,Yes
NVIDIA Corporation,NVDA,Yes,9964390942.0,Yes
Apple Inc.,AAPL,Yes,9022432760.0,Yes
Microsoft Corporation,MSFT,Yes,7741800000.0,Yes
Amazon.com Inc.,AMZN,Yes,5834857486.0,Yes
Meta Platforms Inc. Class A,META,Yes,4178716883.0,Yes
Advanced Micro Devices Inc.,AMD,Yes,3754388257.0,Yes
Alphabet Inc. Class A,GOOGL,Yes,3234705024.0,Yes
Alphabet Inc. Class C,GOOG,Yes,2941276050.0,Yes
Exxon Mobil Corporation,XOM,Yes,2309983624.0,No
Deere & Company,DE,Yes,2118322597.0,No
Johnson & Johnson,JNJ,Yes,1989140741.0,No
UnitedHealth Group Incorporated,UNH,Yes,1942169820.0,No
Netflix Inc.,NFLX,Yes,1842343812.0,Yes
Home Depot Inc.,HD,Yes,1585139725.0,No
Chevron Corporation,CVX,Yes,1565330485.0,No
Airbnb,ABNB,Yes,1498489588.0,Yes
Albemarle Corporation,ALB,Yes,1485698983.0,No
Union Pacific Corporation,UNP,Yes,1423991442.0,No
Devon Energy Corporation,DVN,Yes,1360688285.0,No
Salesforce Inc.,CRM,Yes,1335300348.0,No
Cisco Systems Inc.,CSCO,Yes,1285567478.0,Yes
Occidental Petroleum Corporation,OXY,Yes,1237695619.0,No
Eli Lilly and Company,LLY,Yes,1213667880.0,No
Walmart Inc.,WMT,Yes,1209140436.0,No
PayPal Holdings Inc.,PYPL,Yes,1183786562.0,Yes
ConocoPhillips,COP,Yes,1175983340.0,No
Pioneer Natural Resources Company,PXD,Yes,1167898336.0,No
Norfolk Southern Corporation,NSC,Yes,1143556245.0,No
JPMorgan Chase & Co.,JPM,Yes,1130637312.0,No
Procter & Gamble Company,PG,Yes,1124952348.0,No
Applied Materials Inc.,AMAT,Yes,1072102939.0,Yes
Adobe Incorporated,ADBE,Yes,1065518415.0,Yes
Boeing Company,BA,Yes,1055252096.0,No
Linde plc,LIN,Yes,1039024032.0,No
Merck & Co. Inc.,MRK,Yes,1037658192.0,No
Coca-Cola Company,KO,Yes,1010893752.0,No
Visa Inc. Class A,V,Yes,1010558268.0,No
Bank of America Corp,BAC,Yes,1009691445.0,No
Walt Disney Company,DIS,Yes,998758762.0,No
Mastercard Incorporated Class A,MA,Yes,981948583.0,No
Caterpillar Inc.,CAT,Yes,931492168.0,No
Intel Corporation,INTC,Yes,885900009.6,Yes
ServiceNow Inc.,NOW,Yes,862215640.0,No
Broadcom Inc.,AVGO,Yes,846631185.0,Yes
Moderna Inc.,MRNA,Yes,842479540.0,Yes
Berkshire Hathaway Inc. Class B,BRK.B,Yes,838844336.0,No
Enphase Energy Inc.,ENPH,Yes,836912673.0,No
McDonald's Corporation,MCD,Yes,825035442.0,No
Morgan Stanley,MS,Yes,809314830.0,No
Bristol-Myers Squibb Company,BMY,Yes,791575187.0,No
Pfizer Inc.,PFE,Yes,790457814.0,No
QUALCOMM Incorporated,QCOM,Yes,769193700.0,Yes
Accenture Plc Class A,ACN,Yes,754296330.0,No
ASML Holding,ASML,Yes,749589114.0,Yes
Lowe's Companies Inc.,LOW,Yes,736540500.0,No
Starbucks Corporation,SBUX,Yes,736462440.0,Yes
EOG Resources Inc.,EOG,Yes,734428998.0,No
Analog Devices Inc.,ADI,Yes,727460979.0,Yes
NextEra Energy Inc.,NEE,Yes,717819341.0,No
Amgen Inc.,AMGN,Yes,716322393.0,Yes
Texas Instruments Incorporated,TXN,Yes,711939456.0,Yes
Booking Holdings Inc.,BKNG,Yes,706596870.0,Yes
Ford Motor Company,F,Yes,701228890.0,No
Pinduoduo,PDD,Yes,700491186.0,Yes
PepsiCo Inc.,PEP,Yes,696676188.0,Yes
AbbVie Inc.,ABBV,Yes,690351875.0,No
Humana Inc.,HUM,Yes,689862322.0,No
T-Mobile US Inc.,TMUS,Yes,689668430.0,Yes
Lam Research Corporation,LRCX,Yes,686043006.0,Yes
Goldman Sachs Group Inc.,GS,Yes,684415050.0,No
Costco Wholesale Corporation,COST,Yes,680226192.0,Yes
Thermo Fisher Scientific Inc.,TMO,Yes,661845250.0,No
Raytheon Technologies Corporation,RTX,Yes,660566174.0,No
Intuit Inc.,INTU,Yes,657602756.0,Yes
CVS Health Corporation,CVS,Yes,648467606.0,No
NIKE Inc. Class B,NKE,Yes,644386628.0,No
Micron Technology Inc.,MU,Yes,641722007.0,Yes
Wells Fargo & Company,WFC,Yes,639395862.0,No
Cigna Corporation,CI,Yes,637313914.0,No
Citigroup Inc.,C,Yes,632358018.0,No
Verizon Communications Inc.,VZ,Yes,604470402.0,No
Palo Alto Networks,PANW,Yes,602535232.0,Yes
Public Storage,PSA,Yes,589378611.0,No
ON Semiconductor Corporation,ON,Yes,584202076.0,No
AT&T Inc.,T,Yes,583151400.0,No
Medtronic Plc,MDT,Yes,578760000.0,No
Honeywell International Inc.,HON,Yes,574107426.0,Yes
Lockheed Martin Corporation,LMT,Yes,563241046.0,No
Dollar General Corporation,DG,Yes,562920438.0,No
General Motors Company,GM,Yes,562677780.0,No
Diamondback Energy Inc.,FANG,Yes,560322672.0,No
Etsy Inc.,ETSY,Yes,559439520.0,No
Oracle Corporation,ORCL,Yes,558452352.0,No
Comcast Corporation Class A,CMCSA,Yes,547398336.0,Yes
Progressive Corporation,PGR,Yes,546606848.0,No
Gilead Sciences Inc.,GILD,Yes,534513512.0,Yes
MetLife Inc.,MET,Yes,528482916.0,No
O'Reilly Automotive Inc.,ORLY,Yes,511147355.0,Yes
Mondelez International Inc. Class A,MDLZ,Yes,490665630.0,Yes
Schlumberger NV,SLB,Yes,488749086.0,No
Freeport-McMoRan Inc.,FCX,Yes,485068888.0,No
Baidu,BIDU,Yes,480510268.0,Yes
Datadog,DDOG,Yes,477108354.0,Yes
D.R. Horton Inc.,DHI,Yes,474618144.0,No
MercadoLibre,MELI,Yes,470842099.0,Yes
International Business Machines Corporation,IBM,Yes,467992822.0,No
Target Corporation,TGT,Yes,463900482.0,No
United Parcel Service Inc. Class B,UPS,Yes,459875421.0,No
Marathon Oil Corporation,MRO,Yes,455906628.0,No
Philip Morris International Inc.,PM,Yes,451408788.0,No
AvalonBay Communities Inc.,AVB,Yes,449967700.0,No
Valero Energy Corporation,VLO,Yes,438107722.0,No
S&P Global Inc.,SPGI,Yes,435233146.0,No
Danaher Corporation,DHR,Yes,431336070.0,No
Paramount Global Class B,PARA,Yes,429592091.0,No
Fidelity National Information Services Inc.,FIS,Yes,426236550.0,No
CrowdStrike,CRWD,Yes,424244525.0,Yes
Baxter International Inc.,BAX,Yes,423066700.0,No
American Express Company,AXP,Yes,417612420.0,No
Edison International,EIX,Yes,417192516.0,No
Activision Blizzard Inc.,ATVI,Yes,416139779.0,Yes
NXP Semiconductors NV,NXPI,Yes,415818144.0,Yes
Cardinal Health Inc.,CAH,Yes,409151808.0,No
American Water Works Company Inc.,AWK,Yes,405637593.0,No
Kraft Heinz Company,KHC,Yes,405376000.0,Yes
Exelon Corporation,EXC,Yes,403249350.0,Yes
Marathon Petroleum Corporation,MPC,Yes,401285500.0,No
Elevance Health Inc.,ELV,Yes,395388448.0,No
Microchip Technology Incorporated,MCHP,Yes,394158545.0,Yes
TJX Companies Inc,TJX,Yes,393250563.0,No
SVB Financial Group,SIVB,Yes,391928694.0,No
Northrop Grumman Corp.,NOC,Yes,390669963.0,No
Expedia Group Inc.,EXPE,Yes,390447264.0,No
Newmont Corporation,NEM,Yes,389481042.0,No
Cadence Design Systems Inc.,CDNS,Yes,387693916.0,Yes
CSX Corporation,CSX,Yes,386826103.0,Yes
KLA Corporation,KLAC,Yes,384506304.0,Yes
Atlassian,TEAM,Yes,382985176.0,Yes
Charles Schwab Corp,SCHW,Yes,382700704.0,No
