type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,BNBUSDT,118.0,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,9.28%,0%,9.28%,1000,1092.8
total,CTSIUSDT,130.5,4,4,0,100.0%,8.0%,0%,8.0%,1000,1080.0,10.28%,0%,10.28%,1000,1102.8
total,ACHUSDT,49.0,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,RDNTUSDT,37.67,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,8.28%,0%,8.28%,1000,1082.8
total,1INCHUSDT,50.5,4,4,0,100.0%,12.0%,0%,12.0%,1000,1120.0,22.72%,0%,22.72%,1000,1227.2
total,SNXUSDT,60.33,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,17.04%,0%,17.04%,1000,1170.4
total,NMRUSDT,11.17,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,8.28%,0%,8.28%,1000,1082.8
total,NEOUSDT,46.67,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,18.04%,0%,18.04%,1000,1180.4
total,RLCUSDT,90.0,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,9.28%,0%,9.28%,1000,1092.8
total,PERPUSDT,127.33,5,5,0,100.0%,11.0%,0%,11.0%,1000,1110.0,12.88%,0%,12.88%,1000,1128.8
total,POLYXUSDT,72.83,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,LRCUSDT,125.5,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,9.28%,0%,9.28%,1000,1092.8
total,ALGOUSDT,90.33,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,14.96%,0%,14.96%,1000,1149.6
total,ETCUSDT,52.0,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,BNTUSDT,22.33,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,CFXUSDT,98.0,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,6.2%,0%,6.2%,1000,1062.0
total,ARUSDT,17.5,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,18.04%,0%,18.04%,1000,1180.4
total,LEVERUSDT,64.17,2,2,0,100.0%,4.0%,0%,4.0%,1000,1040.0,6.68%,0%,6.68%,1000,1066.8
total,TRXUSDT,138.0,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,18.04%,0%,18.04%,1000,1180.4
total,DUSKUSDT,90.33,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,17.56%,0%,17.56%,1000,1175.6
total,FRONTUSDT,36.67,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,EOSUSDT,73.0,4,4,0,100.0%,8.0%,0%,8.0%,1000,1080.0,10.28%,0%,10.28%,1000,1102.8
total,JOEUSDT,13.0,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,IMXUSDT,46.67,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,17.04%,0%,17.04%,1000,1170.4
total,UNIUSDT,129.67,5,5,0,100.0%,9.0%,0%,9.0%,1000,1090.0,11.28%,0%,11.28%,1000,1112.8
total,IDEXUSDT,87.5,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,CYBERUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,XVGUSDT,0.0,1,1,0,100.0%,1.0%,0%,1.0%,1000,1010.0,1.0%,0%,1.0%,1000,1010.0
total,EDUUSDT,48.33,2,2,0,100.0%,4.0%,0%,4.0%,1000,1040.0,3.6%,0%,3.6%,1000,1036.0
total,RIFUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,2.6%,0%,2.6%,1000,1026.0
total,STPTUSDT,28.5,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,RNDRUSDT,30.33,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,8.28%,0%,8.28%,1000,1082.8
total,QTUMUSDT,35.17,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,LTCUSDT,36.17,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,DYDXUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,LQTYUSDT,28.0,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,18.04%,0%,18.04%,1000,1180.4
total,KLAYUSDT,25.0,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,MBLUSDT,17.17,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,CELRUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,2.6%,0%,2.6%,1000,1026.0
total,XVSUSDT,105.33,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,BAKEUSDT,27.17,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,SXPUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,HIFIUSDT,0.0,1,1,0,100.0%,1.0%,0%,1.0%,1000,1010.0,1.0%,0%,1.0%,1000,1010.0
total,HOTUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,API3USDT,32.33,2,2,0,100.0%,2.0%,0%,2.0%,1000,1020.0,2.0%,0%,2.0%,1000,1020.0
total,BONDUSDT,0.0,1,1,0,100.0%,1.0%,0%,1.0%,1000,1010.0,1.0%,0%,1.0%,1000,1010.0
total,XRPUSDT,43.17,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,8.28%,0%,8.28%,1000,1082.8
total,CVXUSDT,130.5,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,25.32%,0%,25.32%,1000,1253.2
total,SLPUSDT,49.83,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,ARKMUSDT,53.5,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,12.36%,0%,12.36%,1000,1123.6
total,STEEMUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,GASUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,ETHUSDT,145.33,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,17.56%,0%,17.56%,1000,1175.6
total,CHRUSDT,97.17,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,11.88%,0%,11.88%,1000,1118.8
total,SEIUSDT,6.83,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,DOTUSDT,133.0,4,4,0,100.0%,8.0%,0%,8.0%,1000,1080.0,13.36%,0%,13.36%,1000,1133.6
total,MATICUSDT,125.17,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,20.64%,0%,20.64%,1000,1206.4
total,MAGICUSDT,147.67,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,20.64%,0%,20.64%,1000,1206.4
total,SNTUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,IOTAUSDT,69.83,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,TRUUSDT,97.0,9,8,1,88.89%,22.0%,-6.0%,16.0%,1000,1160.0,31.52%,-6.0%,25.52%,1000,1255.2
total,RUNEUSDT,131.17,8,7,1,87.5%,21.0%,-6.0%,15.0%,1000,1150.0,36.68%,-6.0%,30.68%,1000,1306.8
total,RSRUSDT,131.67,7,6,1,85.71%,16.0%,-6.0%,10.0%,1000,1100.0,20.16%,-6.0%,14.16%,1000,1141.6
total,LINKUSDT,141.83,7,6,1,85.71%,16.0%,-6.0%,10.0%,1000,1100.0,23.24%,-6.0%,17.24%,1000,1172.4
total,LDOUSDT,137.17,7,6,1,85.71%,16.0%,-6.0%,10.0%,1000,1100.0,17.08%,-6.0%,11.08%,1000,1110.8
total,IOTXUSDT,89.0,7,6,1,85.71%,16.0%,-6.0%,10.0%,1000,1100.0,29.4%,-6.0%,23.4%,1000,1234.0
total,C98USDT,108.83,7,6,1,85.71%,16.0%,-6.0%,10.0%,1000,1100.0,20.16%,-6.0%,14.16%,1000,1141.6
total,BATUSDT,133.5,7,6,1,85.71%,16.0%,-6.0%,10.0%,1000,1100.0,29.4%,-6.0%,23.4%,1000,1234.0
total,GMTUSDT,138.83,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,17.56%,-6.0%,11.56%,1000,1115.6
total,SOLUSDT,129.17,6,5,1,83.33%,15.0%,-6.0%,9.0%,1000,1090.0,28.4%,-6.0%,22.4%,1000,1224.0
total,PHBUSDT,113.17,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,23.72%,-6.0%,17.72%,1000,1177.2
total,REEFUSDT,125.67,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,23.72%,-6.0%,17.72%,1000,1177.2
total,ICPUSDT,55.0,6,5,0,83.33%,11.0%,0%,11.0%,1000,1110.0,15.96%,0%,15.96%,1000,1159.6
total,KEYUSDT,120.17,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,23.72%,-6.0%,17.72%,1000,1177.2
total,TLMUSDT,94.33,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,20.64%,-6.0%,14.64%,1000,1146.4
total,THETAUSDT,120.0,6,5,1,83.33%,15.0%,-6.0%,9.0%,1000,1090.0,25.32%,-6.0%,19.32%,1000,1193.2
total,ATAUSDT,125.0,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,MKRUSDT,56.83,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,IDUSDT,100.0,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,13.48%,-6.0%,7.48%,1000,1074.8
total,STORJUSDT,124.33,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,13.36%,-6.0%,7.36%,1000,1073.6
total,RVNUSDT,54.5,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,FETUSDT,128.17,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,22.72%,-6.0%,16.72%,1000,1167.2
total,LINAUSDT,123.17,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,16.56%,-6.0%,10.56%,1000,1105.6
total,YFIUSDT,124.0,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,DASHUSDT,133.33,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,SPELLUSDT,94.33,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,10.28%,-6.0%,4.28%,1000,1042.8
total,AVAXUSDT,118.83,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,22.72%,-6.0%,16.72%,1000,1167.2
total,IOSTUSDT,121.0,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,RENUSDT,117.17,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,13.36%,-6.0%,7.36%,1000,1073.6
total,TRBUSDT,115.83,5,4,1,80.0%,6.0%,-6.0%,0.0%,1000,1000.0,8.68%,-6.0%,2.68%,1000,1026.8
total,XTZUSDT,120.0,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,16.56%,-6.0%,10.56%,1000,1105.6
total,LOOMUSDT,98.5,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,DENTUSDT,96.33,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,JASMYUSDT,114.83,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,AGIXUSDT,68.33,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,MINAUSDT,143.0,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,13.96%,-6.0%,7.96%,1000,1079.6
total,ATOMUSDT,136.83,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,17.04%,-6.0%,11.04%,1000,1110.4
total,ASTRUSDT,104.33,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,17.04%,-6.0%,11.04%,1000,1110.4
