type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,ATOMUSDT,86.5,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,14.96%,0%,14.96%,1000,1149.6
total,ASTRUSDT,64.5,5,5,0,100.0%,11.0%,0%,11.0%,1000,1110.0,15.96%,0%,15.96%,1000,1159.6
total,BALUSDT,93.17,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,14.96%,0%,14.96%,1000,1149.6
total,COMPUSDT,66.33,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,10.88%,0%,10.88%,1000,1108.8
total,AGIXUSDT,92.67,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,19.16%,0%,19.16%,1000,1191.6
total,ADAUSDT,84.5,4,4,0,100.0%,8.0%,0%,8.0%,1000,1080.0,10.28%,0%,10.28%,1000,1102.8
total,ICPUSDT,103.0,5,5,0,100.0%,11.0%,0%,11.0%,1000,1110.0,15.96%,0%,15.96%,1000,1159.6
total,DENTUSDT,77.33,4,4,0,100.0%,8.0%,0%,8.0%,1000,1080.0,10.28%,0%,10.28%,1000,1102.8
total,STGUSDT,80.33,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,25.32%,0%,25.32%,1000,1253.2
total,IOTAUSDT,77.17,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,14.96%,0%,14.96%,1000,1149.6
total,SNXUSDT,70.33,6,6,0,100.0%,16.0%,0%,16.0%,1000,1160.0,17.08%,0%,17.08%,1000,1170.8
total,DASHUSDT,96.17,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,11.88%,0%,11.88%,1000,1118.8
total,SSVUSDT,84.33,7,7,0,100.0%,15.0%,0%,15.0%,1000,1150.0,25.72%,0%,25.72%,1000,1257.2
total,OCEANUSDT,86.5,5,5,0,100.0%,11.0%,0%,11.0%,1000,1110.0,19.04%,0%,19.04%,1000,1190.4
total,LPTUSDT,102.17,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,11.88%,0%,11.88%,1000,1118.8
total,AVAXUSDT,87.0,4,4,0,100.0%,8.0%,0%,8.0%,1000,1080.0,13.36%,0%,13.36%,1000,1133.6
total,WOOUSDT,91.17,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,18.04%,0%,18.04%,1000,1180.4
total,EDUUSDT,111.17,6,6,0,100.0%,14.0%,0%,14.0%,1000,1140.0,21.64%,0%,21.64%,1000,1216.4
total,MAVUSDT,99.83,7,7,0,100.0%,17.0%,0%,17.0%,1000,1170.0,24.24%,0%,24.24%,1000,1242.4
total,FXSUSDT,92.0,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,9.28%,0%,9.28%,1000,1092.8
total,STPTUSDT,64.5,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,14.96%,0%,14.96%,1000,1149.6
total,ARPAUSDT,94.83,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,11.88%,0%,11.88%,1000,1118.8
total,GMXUSDT,81.33,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,25.32%,0%,25.32%,1000,1253.2
total,SLPUSDT,94.0,5,5,0,100.0%,11.0%,0%,11.0%,1000,1110.0,15.96%,0%,15.96%,1000,1159.6
total,IOSTUSDT,57.83,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,10.88%,0%,10.88%,1000,1108.8
total,BTCUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,TWTUSDT,40.33,2,2,0,100.0%,4.0%,0%,4.0%,1000,1040.0,6.68%,0%,6.68%,1000,1066.8
total,FLOWUSDT,28.67,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,YFIUSDT,39.67,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,17.04%,0%,17.04%,1000,1170.4
total,DOTUSDT,38.0,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,12.36%,0%,12.36%,1000,1123.6
total,TUSDT,15.0,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,10.88%,0%,10.88%,1000,1108.8
total,LOOMUSDT,46.17,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,9.28%,0%,9.28%,1000,1092.8
total,JASMYUSDT,88.83,5,5,0,100.0%,9.0%,0%,9.0%,1000,1090.0,14.36%,0%,14.36%,1000,1143.6
total,ACHUSDT,96.0,2,2,0,100.0%,6.0%,0%,6.0%,1000,1060.0,11.36%,0%,11.36%,1000,1113.6
total,ARKMUSDT,64.33,6,6,0,100.0%,16.0%,0%,16.0%,1000,1160.0,26.32%,0%,26.32%,1000,1263.2
total,CELOUSDT,49.5,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,APEUSDT,89.5,6,6,0,100.0%,18.0%,0%,18.0%,1000,1180.0,31.0%,0%,31.0%,1000,1310.0
total,THETAUSDT,62.83,4,4,0,100.0%,12.0%,0%,12.0%,1000,1120.0,19.64%,0%,19.64%,1000,1196.4
total,SANDUSDT,71.17,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,14.96%,0%,14.96%,1000,1149.6
total,OMGUSDT,89.5,6,6,0,100.0%,16.0%,0%,16.0%,1000,1160.0,26.32%,0%,26.32%,1000,1263.2
total,ZILUSDT,64.5,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,RVNUSDT,89.67,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,17.56%,0%,17.56%,1000,1175.6
total,TRBUSDT,57.0,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,9.28%,0%,9.28%,1000,1092.8
total,RIFUSDT,129.67,7,7,0,100.0%,13.0%,0%,13.0%,1000,1130.0,17.96%,0%,17.96%,1000,1179.6
total,BNBUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,ARBUSDT,134.33,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,20.64%,0%,20.64%,1000,1206.4
total,XVGUSDT,119.17,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,20.64%,0%,20.64%,1000,1206.4
total,KSMUSDT,115.83,4,4,0,100.0%,6.0%,0%,6.0%,1000,1060.0,8.68%,0%,8.68%,1000,1086.8
total,QNTUSDT,134.5,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,14.96%,0%,14.96%,1000,1149.6
total,HOOKUSDT,132.83,8,7,1,87.5%,17.0%,-6.0%,11.0%,1000,1110.0,21.16%,-6.0%,15.16%,1000,1151.6
total,MAGICUSDT,134.17,8,7,1,87.5%,13.0%,-6.0%,7.0%,1000,1070.0,21.04%,-6.0%,15.04%,1000,1150.4
total,BNTUSDT,128.33,8,7,1,87.5%,17.0%,-6.0%,11.0%,1000,1110.0,21.16%,-6.0%,15.16%,1000,1151.6
total,TRUUSDT,103.83,8,7,1,87.5%,17.0%,-6.0%,11.0%,1000,1110.0,18.08%,-6.0%,12.08%,1000,1120.8
total,ALPHAUSDT,103.83,7,6,1,85.71%,12.0%,-6.0%,6.0%,1000,1060.0,16.96%,-6.0%,10.96%,1000,1109.6
total,HFTUSDT,107.17,7,6,1,85.71%,12.0%,-6.0%,6.0%,1000,1060.0,16.96%,-6.0%,10.96%,1000,1109.6
total,RENUSDT,108.0,7,6,1,85.71%,16.0%,-6.0%,10.0%,1000,1100.0,23.24%,-6.0%,17.24%,1000,1172.4
total,RDNTUSDT,134.33,7,6,1,85.71%,14.0%,-6.0%,8.0%,1000,1080.0,21.64%,-6.0%,15.64%,1000,1156.4
total,CTKUSDT,132.33,7,6,1,85.71%,12.0%,-6.0%,6.0%,1000,1060.0,16.96%,-6.0%,10.96%,1000,1109.6
total,INJUSDT,117.83,7,6,1,85.71%,12.0%,-6.0%,6.0%,1000,1060.0,13.88%,-6.0%,7.88%,1000,1078.8
total,MANAUSDT,115.0,7,6,1,85.71%,14.0%,-6.0%,8.0%,1000,1080.0,24.72%,-6.0%,18.72%,1000,1187.2
total,COTIUSDT,115.67,6,5,1,83.33%,9.0%,-6.0%,3.0%,1000,1030.0,14.36%,-6.0%,8.36%,1000,1083.6
total,GRTUSDT,71.83,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,23.72%,-6.0%,17.72%,1000,1177.2
total,FTMUSDT,103.83,6,5,1,83.33%,11.0%,-6.0%,5.0%,1000,1050.0,15.96%,-6.0%,9.96%,1000,1099.6
total,IMXUSDT,75.83,6,5,1,83.33%,15.0%,-6.0%,9.0%,1000,1090.0,22.24%,-6.0%,16.24%,1000,1162.4
total,SNTUSDT,133.67,6,5,1,83.33%,7.0%,-6.0%,1.0%,1000,1010.0,9.68%,-6.0%,3.68%,1000,1036.8
total,C98USDT,102.67,6,5,1,83.33%,11.0%,-6.0%,5.0%,1000,1050.0,15.96%,-6.0%,9.96%,1000,1099.6
total,HOTUSDT,88.0,6,5,1,83.33%,11.0%,-6.0%,5.0%,1000,1050.0,12.88%,-6.0%,6.88%,1000,1068.8
total,LQTYUSDT,131.33,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,20.64%,-6.0%,14.64%,1000,1146.4
total,APTUSDT,70.83,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,JOEUSDT,95.67,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,ARUSDT,71.5,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,NMRUSDT,104.33,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,10.28%,-6.0%,4.28%,1000,1042.8
total,SUIUSDT,85.33,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,UNFIUSDT,117.83,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,10.28%,-6.0%,4.28%,1000,1042.8
total,IDEXUSDT,119.0,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,FETUSDT,100.67,5,4,1,80.0%,6.0%,-6.0%,0.0%,1000,1000.0,8.68%,-6.0%,2.68%,1000,1026.8
total,XRPUSDT,105.67,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,STMXUSDT,70.67,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,CELRUSDT,85.33,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,ONEUSDT,88.33,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,16.56%,-6.0%,10.56%,1000,1105.6
total,VETUSDT,133.67,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,10.28%,-6.0%,4.28%,1000,1042.8
total,OPUSDT,104.33,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,KLAYUSDT,101.17,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,REEFUSDT,79.5,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,DUSKUSDT,96.0,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,13.36%,-6.0%,7.36%,1000,1073.6
total,SKLUSDT,70.67,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
