description,symbol,finhub_symbol,forex.com
Oanda AUD/CAD,AUD/CAD,OANDA:AUD_CAD,Forex.com AUD/CAD
Oanda AUD/CHF,AUD/CHF,OANDA:AUD_CHF,Forex.com AUD/CHF
Oanda AUD/JPY,AUD/JPY,OANDA:AUD_JPY,Forex.com AUD/JPY
Oanda AUD/NZD,AUD/NZD,OANDA:AUD_NZD,Forex.com AUD/NZD
Oanda AUD/SGD,AUD/SGD,OANDA:AUD_SGD,Forex.com AUD/SGD
Oanda AUD/USD,AUD/USD,OANDA:AUD_USD,Forex.com AUD/USD
Oanda CAD/CHF,CAD/CHF,OANDA:CAD_CHF,Forex.com CAD/CHF
Oanda CAD/JPY,CAD/JPY,OANDA:CAD_JPY,Forex.com CAD/JPY
Oanda CHF/JPY,CHF/JPY,OANDA:CHF_JPY,Forex.com CHF/JPY
Oanda EUR/AUD,EUR/AUD,OANDA:EUR_AUD,Forex.com EUR/AUD
Oanda EUR/CAD,EUR/CAD,OANDA:EUR_CAD,Forex.com EUR/CAD
Oanda EUR/CHF,EUR/CHF,OANDA:EUR_CHF,Forex.com EUR/CHF
Oanda EUR/CZK,EUR/CZK,OANDA:EUR_CZK,Forex.com EUR/CZK
Oanda EUR/DKK,EUR/DKK,OANDA:EUR_DKK,Forex.com EUR/DKK
Oanda EUR/GBP,EUR/GBP,OANDA:EUR_GBP,Forex.com EUR/GBP
Oanda EUR/HKD,EUR/HKD,OANDA:EUR_HKD,Forex.com EUR/HKD
Oanda EUR/HUF,EUR/HUF,OANDA:EUR_HUF,Forex.com EUR/HUF
Oanda EUR/JPY,EUR/JPY,OANDA:EUR_JPY,Forex.com EUR/JPY
Oanda EUR/NOK,EUR/NOK,OANDA:EUR_NOK,Forex.com EUR/NOK
Oanda EUR/NZD,EUR/NZD,OANDA:EUR_NZD,Forex.com EUR/NZD
Oanda EUR/PLN,EUR/PLN,OANDA:EUR_PLN,Forex.com EUR/PLN
Oanda EUR/SEK,EUR/SEK,OANDA:EUR_SEK,Forex.com EUR/SEK
Oanda EUR/SGD,EUR/SGD,OANDA:EUR_SGD,Forex.com EUR/SGD
Oanda EUR/TRY,EUR/TRY,OANDA:EUR_TRY,Forex.com EUR/TRY
Oanda EUR/USD,EUR/USD,OANDA:EUR_USD,Forex.com EUR/USD
Oanda EUR/ZAR,EUR/ZAR,OANDA:EUR_ZAR,Forex.com EUR/ZAR
Oanda GBP/AUD,GBP/AUD,OANDA:GBP_AUD,Forex.com GBP/AUD
Oanda GBP/CAD,GBP/CAD,OANDA:GBP_CAD,Forex.com GBP/CAD
Oanda GBP/CHF,GBP/CHF,OANDA:GBP_CHF,Forex.com GBP/CHF
Oanda GBP/HKD,GBP/HKD,OANDA:GBP_HKD,Forex.com GBP/HKD
Oanda GBP/JPY,GBP/JPY,OANDA:GBP_JPY,Forex.com GBP/JPY
Oanda GBP/NZD,GBP/NZD,OANDA:GBP_NZD,Forex.com GBP/NZD
Oanda GBP/PLN,GBP/PLN,OANDA:GBP_PLN,Forex.com GBP/PLN
Oanda GBP/SGD,GBP/SGD,OANDA:GBP_SGD,Forex.com GBP/SGD
Oanda GBP/USD,GBP/USD,OANDA:GBP_USD,Forex.com GBP/USD
Oanda GBP/ZAR,GBP/ZAR,OANDA:GBP_ZAR,Forex.com GBP/ZAR
Oanda HKD/JPY,HKD/JPY,OANDA:HKD_JPY,Forex.com HKD/JPY
Oanda NZD/CAD,NZD/CAD,OANDA:NZD_CAD,Forex.com NZD/CAD
Oanda NZD/CHF,NZD/CHF,OANDA:NZD_CHF,Forex.com NZD/CHF
Oanda NZD/JPY,NZD/JPY,OANDA:NZD_JPY,Forex.com NZD/JPY
Oanda NZD/USD,NZD/USD,OANDA:NZD_USD,Forex.com NZD/USD
Oanda SGD/JPY,SGD/JPY,OANDA:SGD_JPY,Forex.com SGD/JPY
Oanda TRY/JPY,TRY/JPY,OANDA:TRY_JPY,Forex.com TRY/JPY
Oanda USD/CAD,USD/CAD,OANDA:USD_CAD,Forex.com USD/CAD
Oanda USD/CHF,USD/CHF,OANDA:USD_CHF,Forex.com USD/CHF
Oanda USD/CNH,USD/CNH,OANDA:USD_CNH,Forex.com USD/CNH
Oanda USD/CZK,USD/CZK,OANDA:USD_CZK,Forex.com USD/CZK
Oanda USD/DKK,USD/DKK,OANDA:USD_DKK,Forex.com USD/DKK
Oanda USD/HKD,USD/HKD,OANDA:USD_HKD,Forex.com USD/HKD
Oanda USD/HUF,USD/HUF,OANDA:USD_HUF,Forex.com USD/HUF
Oanda USD/JPY,USD/JPY,OANDA:USD_JPY,Forex.com USD/JPY
Oanda USD/MXN,USD/MXN,OANDA:USD_MXN,Forex.com USD/MXN
Oanda USD/NOK,USD/NOK,OANDA:USD_NOK,Forex.com USD/NOK
Oanda USD/PLN,USD/PLN,OANDA:USD_PLN,Forex.com USD/PLN
Oanda USD/SEK,USD/SEK,OANDA:USD_SEK,Forex.com USD/SEK
Oanda USD/SGD,USD/SGD,OANDA:USD_SGD,Forex.com USD/SGD
Oanda USD/THB,USD/THB,OANDA:USD_THB,Forex.com USD/THB
Oanda USD/TRY,USD/TRY,OANDA:USD_TRY,Forex.com USD/TRY
Oanda USD/ZAR,USD/ZAR,OANDA:USD_ZAR,Forex.com USD/ZAR
Oanda Gold,XAU/USD,OANDA:XAU_USD,Forex.com XAU/USD
Oanda ZAR/JPY,ZAR/JPY,OANDA:ZAR_JPY,Forex.com ZAR/JPY
