entryDateTimeEst,exitDateTimeEst,lastCheckedDateTimeUtc,leverage,symbol,timeframe,entryType,tp1Pct,tp1Price,tp1DateTimeEst,tp2Pct,tp2Price,tp2DateTimeEst,tp3Pct,tp3Price,tp3DateTimeEst,slPct,slDateTimeEst,slPrice,tradeDurationStr,statusTrade,entryPrice,exitPrice,openTrades,amtTradeStart,amtTrade,amtProfit,amtProfitMaxPct,amtProfitMinPct,amtProfitMaxDateTimeUtc,amtProfitMinDateTimeUtc,isClosed
2023-06-08,2023-08-09 00:00:00,2023-08-10 00:00:00,1,TSLA,1d,long,0.15,270.089,2023-06-20 12:00:00,0.3,305.31800000000004,,0.44999999999999996,340.547,,-0.15,,199.631,62d 0h 0m,win,234.86,242.19,2,1000.0,20.0,0.0,0.2743336455760879,0.0,2023-07-19 16:00:00,,True
2023-06-29,2023-08-07 00:00:00,2023-08-08 00:00:00,1,MARA,1d,long,0.15,15.892999999999999,2023-07-06 04:00:00,0.3,17.966,2023-07-12 08:00:00,0.44999999999999996,20.039,,0.0,,13.82,39d 0h 0m,win,13.82,15.07,5,1000.0,20.0,0.0,0.4381331403762663,-0.04848046309696092,2023-07-14 14:00:00,2023-06-30 14:00:00,True
2023-06-08,2023-08-09 00:00:00,2023-08-10 00:00:00,1,NFLX,1d,long,0.15,470.77549999999997,2023-07-18 14:00:00,0.3,532.181,,0.44999999999999996,593.5865,,-0.15,,347.9645,62d 0h 0m,win,409.37,428.9,1,1000.0,20.0,0.0,0.20917507389403228,-0.0006595500403057913,2023-07-19 21:00:00,2023-06-09 12:00:00,True
2023-07-07,2023-07-28 11:00:00,2023-07-28 16:00:00,1,NIO,1d,long,0.15,11.4885,2023-07-24 10:00:00,0.3,12.987,2023-07-26 09:00:00,0.44999999999999996,14.4855,2023-07-28 11:00:00,0.0,,9.99,20d 16h 0m,win,9.99,14.4855,6,1000.0,20.0,3.0,0.4644644644644645,-0.022022022022022084,2023-07-28 16:00:00,2023-07-10 13:00:00,True
2023-06-20,2023-08-04 00:00:00,2023-08-05 00:00:00,1,AAPL,1d,long,0.15,211.93349999999998,,0.3,239.577,,0.44999999999999996,267.22049999999996,,-0.15,,156.6465,45d 0h 0m,loss,184.29,181.28,3,1000.0,20.0,0.0,0.0714634543382713,-0.017798035704596024,2023-07-19 17:00:00,2023-08-04 21:00:00,True
2023-07-19,2023-08-07 09:00:00,2023-08-07 14:00:00,1,RIOT,1d,long,0.15,21.769499999999997,,0.3,24.609,,0.44999999999999996,27.4485,,-0.15,2023-08-07 09:00:00,16.0905,18d 14h 0m,loss,18.93,16.0905,7,1000.0,20.0,-3.0,0.030110935023771806,-0.15055467511885903,2023-07-20 14:00:00,2023-08-07 14:00:00,True
2023-08-03,2023-08-10 08:00:00,2023-08-10 13:00:00,1,NIO,1d,long,0.15,17.779,,0.3,20.098000000000003,,0.44999999999999996,22.417,,-0.15,2023-08-10 08:00:00,13.141,6d 13h 0m,loss,15.46,13.141,8,1003.0,20.068181818181817,-3.0102272727272723,0.04657179818887444,-0.1500646830530401,2023-08-04 14:00:00,2023-08-10 13:00:00,True
2023-08-01,2023-09-21 00:00:00,2023-09-22 00:00:00,1,GOOGL,1d,long,0.15,151.2825,,0.3,171.01500000000001,,0.44999999999999996,190.7475,,-0.15,,111.81750000000001,51d 0h 0m,loss,131.55,130.44,7,1003.0,20.068181818181817,0.0,0.05784872671987826,-0.03928240212846831,2023-09-18 15:00:00,2023-08-18 15:00:00,True
2023-06-20,2023-09-26 00:00:00,2023-09-27 00:00:00,1,QQQ,1d,long,0.15,419.7155,,0.3,474.46100000000007,,0.44999999999999996,529.2065,,-0.15,,310.22450000000003,98d 0h 0m,loss,364.97,352.86,4,1000.0,20.0,0.0,0.05745677726936452,-0.03592076061046117,2023-07-19 17:00:00,2023-09-26 20:00:00,True
2023-10-06,2023-10-25 00:00:00,2023-10-26 00:00:00,1,GOOGL,1d,long,0.15,158.217,,0.3,178.854,,0.44999999999999996,199.491,,-0.15,,116.94300000000001,19d 0h 0m,loss,137.58,125.61,1,996.9897727272727,17.538431818181817,0.0,0.029946213112370806,-0.11098996947230709,2023-10-12 11:00:00,2023-10-26 00:00:00,True
