entryDateTimeEst,exitDateTimeEst,lastCheckedDateTimeUtc,leverage,symbol,timeframe,entryType,tp1Pct,tp1Price,tp1DateTimeEst,tp2Pct,tp2Price,tp2DateTimeEst,tp3Pct,tp3Price,tp3DateTimeEst,slPct,slDateTimeEst,slPrice,tradeDurationStr,statusTrade,entryPrice,exitPrice,openTrades,amtTradeStart,amtTrade,amtProfit,amtProfitMaxPct,amtProfitMinPct,amtProfitMaxDateTimeUtc,amtProfitMinDateTimeUtc,isClosed
2023-12-30,2024-01-03,2024-01-03,1,GDRX,1d,long,0.15,7.704999999999999,,0.3,8.71,,0.44999999999999996,9.715,,-0.15,2024-01-03,5.695,4d 0h 0m,loss,6.7,5.695,5,1000.0,20.0,-3.0,0.0,-0.18656716417910446,,2024-01-03,True
2023-12-30,2024-01-04,2024-01-04,1,HNST,1d,long,0.15,3.7949999999999995,,0.3,4.29,,0.44999999999999996,4.784999999999999,,-0.15,2024-01-04,2.8049999999999997,5d 0h 0m,loss,3.3,2.8049999999999997,7,1000.0,20.0,-3.0,0.0,-0.16060606060606056,,2024-01-04,True
2023-12-30,2024-03-02,2024-03-02,1,VTSI,1d,long,0.15,10.8905,2024-01-05,0.3,12.311000000000002,2024-01-18,0.44999999999999996,13.7315,,0.0,2024-03-02,9.47,63d 0h 0m,win,9.47,9.47,22,1000.0,20.0,3.0,0.36172122492080244,-0.009503695881731769,2024-01-23,2024-03-02,True
2024-01-03,2024-02-10,2024-02-10,1,CRVS,1d,long,0.15,2.024,2024-01-05,0.3,2.2880000000000003,2024-02-10,0.44999999999999996,2.552,2024-02-10,0.0,,1.76,38d 0h 0m,win,1.76,2.552,34,997.0,19.89285714285714,2.983928571428571,0.46590909090909094,0.0,2024-02-10,,True
2024-01-03,2024-01-06,2024-01-06,1,IBRX,1d,long,0.15,6.026,,0.3,6.812,,0.44999999999999996,7.598,,-0.15,2024-01-06,4.454,3d 0h 0m,loss,5.24,4.454,44,997.0,19.892857142857135,-2.9839285714285704,0.0,-0.1698473282442749,,2024-01-06,True
2023-12-30,2024-01-30,2024-01-30,1,GTHX,1d,long,0.15,3.5074999999999994,2024-01-09,0.3,3.965,2024-01-27,0.44999999999999996,4.422499999999999,2024-01-30,0.0,,3.05,31d 0h 0m,win,3.05,4.422499999999999,6,1000.0,20.0,3.0,0.5704918032786886,-0.0655737704918032,2024-01-30,2024-01-06,True
2023-12-30,2024-01-09,2024-01-09,1,OPXS,1d,long,0.15,7.537789999999999,,0.3,8.52098,,0.44999999999999996,9.50417,,-0.15,2024-01-09,5.571409999999999,10d 0h 0m,loss,6.5546,5.571409999999999,16,1000.0,20.0,-3.0,0.04657797577273974,-0.16089463887956545,2024-01-05,2024-01-09,True
2023-12-30,2024-01-10,2024-01-10,1,VRCA,1d,long,0.15,8.418,,0.3,9.516,,0.44999999999999996,10.614,,-0.15,2024-01-10,6.222,11d 0h 0m,loss,7.32,6.222,21,1000.0,20.0,-3.0,0.0,-0.16939890710382516,,2024-01-10,True
2023-12-30,,2024-03-08,1,OPHC,1d,long,0.15,4.809069999999999,2024-01-11,0.3,5.43634,,0.44999999999999996,6.06361,,-0.15,,3.5545299999999997,69d 0h 0m,win,4.1818,,15,1000.0,20.0,0.0,0.1753311970921613,-0.06977856425462715,2024-01-13,2024-02-13,False
2024-01-03,2024-01-11,2024-01-11,1,AMRN,1d,long,0.15,1.0225799999999998,2024-01-11,0.3,1.15596,2024-01-11,0.44999999999999996,1.28934,2024-01-11,0.0,,0.8892,8d 0h 0m,win,0.8892,1.28934,27,997.0,19.892857142857142,2.9839285714285713,0.47312190733243376,-0.06646423751686914,2024-01-11,2024-01-06,True
2023-12-30,2024-03-05,2024-03-05,1,CRNT,1d,long,0.15,2.484,2024-01-12,0.3,2.8080000000000003,2024-01-13,0.44999999999999996,3.132,2024-03-05,0.0,,2.16,66d 0h 0m,win,2.16,3.132,3,1000.0,20.0,3.0,0.45601851851851843,-0.0416666666666668,2024-03-05,2024-01-04,True
2023-12-30,2024-01-12,2024-01-12,1,PAVM,1d,long,0.15,4.7379999999999995,,0.3,5.356000000000001,,0.44999999999999996,5.974,,-0.15,2024-01-12,3.502,13d 0h 0m,loss,4.12,3.502,17,1000.0,20.0,-3.0,0.0315533980582524,-0.23541262135922328,2024-01-05,2024-01-12,True
2024-01-03,2024-01-13,2024-01-13,1,ATUS,1d,long,0.15,3.6914999999999996,,0.3,4.173,,0.44999999999999996,4.6545,,-0.15,2024-01-13,2.7285,10d 0h 0m,loss,3.21,2.7285,28,997.0,19.892857142857142,-2.9839285714285713,0.0,-0.22741433021806853,,2024-01-13,True
2023-12-30,2024-01-17,2024-01-17,1,TUYA,1d,long,0.15,2.6449999999999996,,0.3,2.9899999999999998,,0.44999999999999996,3.3349999999999995,,-0.15,2024-01-17,1.9549999999999998,18d 0h 0m,loss,2.3,1.9549999999999998,20,1000.0,20.0,-3.0,0.0,-0.17739130434782607,2024-01-13,2024-01-17,True
2024-01-03,2024-03-01,2024-03-01,1,ACIC,1d,long,0.15,11.166500000000001,2024-01-18,0.3,12.623000000000001,2024-02-15,0.44999999999999996,14.079500000000001,2024-03-01,0.0,,9.71,58d 0h 0m,win,9.71,14.079500000000001,24,997.0,19.892857142857142,2.9839285714285713,0.46755921730175065,-0.003089598352214329,2024-03-01,2024-01-05,True
2024-01-03,2024-01-18,2024-01-18,1,COMM,1d,long,0.15,3.2889999999999997,,0.3,3.718,,0.44999999999999996,4.146999999999999,,-0.15,2024-01-18,2.431,15d 0h 0m,loss,2.86,2.431,33,997.0,19.892857142857142,-2.9839285714285713,0.006993006993007,-0.20279720279720284,2024-01-06,2024-01-18,True
2024-01-03,2024-01-19,2024-01-19,1,ERNA,1d,long,0.15,2.162,,0.3,2.444,,0.44999999999999996,2.726,,-0.15,2024-01-19,1.5979999999999999,16d 0h 0m,loss,1.88,1.5979999999999999,36,997.0,19.892857142857142,-2.9839285714285713,0.06313829787234045,-0.26063829787234044,2024-01-05,2024-01-19,True
2023-12-30,2024-01-20,2024-01-20,1,RNW,1d,long,0.15,8.809,,0.3,9.958,,0.44999999999999996,11.107,,-0.15,2024-01-20,6.511,21d 0h 0m,loss,7.66,6.511,19,1000.0,20.0,-3.0,0.005221932114882511,-0.1514360313315927,2024-01-06,2024-01-20,True
2024-01-03,,2024-03-08,1,ADMA,1d,long,0.15,5.232499999999999,2024-01-23,0.3,5.915,2024-03-07,0.44999999999999996,6.597499999999999,,0.0,,4.55,65d 0h 0m,win,4.55,,25,997.0,19.892857142857146,0.0,0.4087912087912089,-0.0351648351648352,2024-03-08,2024-01-05,False
2024-01-03,2024-01-23,2024-01-23,1,DOMH,1d,long,0.15,2.9324999999999997,,0.3,3.315,,0.44999999999999996,3.6975,,-0.15,2024-01-23,2.1675,20d 0h 0m,loss,2.55,2.1675,35,997.0,19.89285714285714,-2.983928571428571,0.03137254901960787,-0.18172549019607845,2024-01-05,2024-01-23,True
2024-01-03,2024-01-24,2024-01-24,1,HBIO,1d,long,0.15,6.198499999999999,,0.3,7.007,,0.44999999999999996,7.815499999999999,,-0.15,2024-01-24,4.581499999999999,21d 0h 0m,loss,5.39,4.581499999999999,41,997.0,19.892857142857135,-2.9839285714285704,0.0,-0.1641929499072356,,2024-01-24,True
2024-01-03,2024-02-21,2024-02-21,1,JG,1d,long,0.15,3.4844999999999997,2024-01-25,0.3,3.939,2024-01-25,0.44999999999999996,4.3934999999999995,,0.0,2024-02-21,3.03,49d 0h 0m,win,3.03,3.03,46,997.0,19.89285714285713,2.9839285714285695,0.3792739273927393,-0.03300330033003289,2024-01-26,2024-02-21,True
2024-01-03,2024-01-25,2024-01-25,1,LFST,1d,long,0.15,9.084999999999999,,0.3,10.270000000000001,,0.44999999999999996,11.455,,-0.15,2024-01-25,6.715,22d 0h 0m,loss,7.9,6.715,50,997.0,19.89285714285713,-2.9839285714285695,0.0,-0.16835443037974684,,2024-01-25,True
