,symbol
0,BCC/USDT
1,VEN/USDT
2,PAX/USDT
3,BSV/USDT
4,BTT/USDT
5,USDS/USDT
6,NANO/USDT
7,USDSB/USDT
8,ERD/USDT
9,NPXS/USDT
10,STORM/USDT
11,HC/USDT
12,MCO/USDT
13,BULL/USDT
14,BEAR/USDT
15,ETHBULL/USDT
16,ETHBEAR/USDT
17,EOSBULL/USDT
18,EOSBEAR/USDT
19,XRPBULL/USDT
20,XRPBEAR/USDT
21,STRAT/USDT
22,BNBBULL/USDT
23,BNBBEAR/USDT
24,USDT/ZAR
25,XZC/USDT
26,GXS/USDT
27,LEND/USDT
28,BKRW/USDT
29,DAI/USDT
30,USDT/BKRW
31,BZRX/USDT
32,SUSD/USDT
33,USDT/BVND
34,EPS/USDT
35,NU/USDT
36,KEEP/USDT
37,RGT/USDT
38,ANY/USDT
39,UST/USDT
40,USDP/USDT
41,TUSD/USDT
42,USDC/USDT
43,BUSD/USDT
44,EUR/USDT
45,GBP/USDT
46,USDT/RUB
47,AUD/USDT
48,USDT/NGN
49,CNY/USDT
50,DKK/USDT
51,HKD/USDT
52,IDR/USDT
53,ILS/USDT
54,INR/USDT
55,KRW/USDT
56,MXN/USDT
57,MYR/USDT
58,NOK/USDT
59,NZD/USDT
60,PHP/USDT
61,RUB/USDT
62,SEK/USDT
63,SGD/USDT
64,THB/USDT
65,TRY/USDT
66,ZAR/USDT
66,PAXG/USDT
