type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,SANDUSDT,18.17,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,ARKMUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,SPELLUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,MANAUSDT,18.17,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,FXSUSDT,23.67,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,5.2%,-0.0%,5.2%,1000,1052.0
total,ENJUSDT,18.0,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,13.96%,-0.0%,13.96%,1000,1139.6
total,ZECUSDT,9.83,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,HOOKUSDT,18.33,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,MINAUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,HIGHUSDT,13.17,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,12.36%,-0.0%,12.36%,1000,1123.6
total,GALUSDT,21.5,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,12.36%,-0.0%,12.36%,1000,1123.6
total,THETAUSDT,16.5,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,GLMUSDT,15.5,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,APEUSDT,12.0,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,LDOUSDT,5.83,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,RVNUSDT,16.33,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,SLPUSDT,16.83,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,YGGUSDT,17.83,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,13.96%,-0.0%,13.96%,1000,1139.6
total,TLMUSDT,10.83,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,DOGEUSDT,18.33,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,REEFUSDT,21.5,4,4,0,100.0%,12.0%,-0.0%,12.0%,1000,1120.0,22.72%,-0.0%,22.72%,1000,1227.2
total,GTCUSDT,16.33,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,STMXUSDT,15.0,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,12.36%,-0.0%,12.36%,1000,1123.6
total,GMTUSDT,16.33,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,12.36%,-0.0%,12.36%,1000,1123.6
total,LTCUSDT,26.17,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,BADGERUSDT,18.67,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,EDUUSDT,7.0,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
