type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,IMXUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,BNXUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,AVAXUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,DUSKUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,ZECUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,BLZUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,RLCUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,STGUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,HOOKUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,LITUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,CYBERUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,STMXUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,IDEXUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
