type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,QTUMUSDT,293.83,10,10,0,100.0%,22.0%,0%,22.0%,1000,1220.0,28.84%,0%,28.84%,1000,1288.4
total,TRUUSDT,217.33,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,25.32%,0%,25.32%,1000,1253.2
total,CVXUSDT,285.33,7,7,0,100.0%,17.0%,0%,17.0%,1000,1170.0,27.32%,0%,27.32%,1000,1273.2
total,ARPAUSDT,185.83,6,6,0,100.0%,16.0%,0%,16.0%,1000,1160.0,23.24%,0%,23.24%,1000,1232.4
total,MINAUSDT,270.5,4,4,0,100.0%,12.0%,0%,12.0%,1000,1120.0,16.56%,0%,16.56%,1000,1165.6
total,STGUSDT,76.67,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,INJUSDT,248.5,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,25.32%,0%,25.32%,1000,1253.2
total,CELOUSDT,293.83,10,10,0,100.0%,26.0%,0%,26.0%,1000,1260.0,44.36%,0%,44.36%,1000,1443.6
total,DOTUSDT,263.83,9,9,0,100.0%,23.0%,0%,23.0%,1000,1230.0,38.68%,0%,38.68%,1000,1386.8
total,ASTRUSDT,293.83,5,5,0,100.0%,11.0%,0%,11.0%,1000,1110.0,19.04%,0%,19.04%,1000,1190.4
total,NEARUSDT,269.67,8,8,0,100.0%,18.0%,0%,18.0%,1000,1180.0,28.32%,0%,28.32%,1000,1283.2
total,ARUSDT,274.33,6,6,0,100.0%,16.0%,0%,16.0%,1000,1160.0,23.24%,0%,23.24%,1000,1232.4
total,SPELLUSDT,108.67,3,3,0,100.0%,7.0%,0%,7.0%,1000,1070.0,12.36%,0%,12.36%,1000,1123.6
total,FTMUSDT,263.33,8,8,0,100.0%,24.0%,0%,24.0%,1000,1240.0,39.28%,0%,39.28%,1000,1392.8
total,HOOKUSDT,94.33,3,3,0,100.0%,9.0%,0%,9.0%,1000,1090.0,13.96%,0%,13.96%,1000,1139.6
total,IMXUSDT,293.33,6,6,0,100.0%,16.0%,0%,16.0%,1000,1160.0,20.16%,0%,20.16%,1000,1201.6
total,PHBUSDT,0.0,1,1,0,100.0%,1.0%,0%,1.0%,1000,1010.0,1.0%,0%,1.0%,1000,1010.0
total,COMPUSDT,295.0,9,9,0,100.0%,23.0%,0%,23.0%,1000,1230.0,35.6%,0%,35.6%,1000,1356.0
total,ACHUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,5.68%,0%,5.68%,1000,1056.8
total,JASMYUSDT,337.67,10,10,0,100.0%,28.0%,0%,28.0%,1000,1280.0,42.88%,0%,42.88%,1000,1428.8
total,RUNEUSDT,268.5,8,8,0,100.0%,18.0%,0%,18.0%,1000,1180.0,28.32%,0%,28.32%,1000,1283.2
total,MAGICUSDT,0.0,1,1,0,100.0%,3.0%,0%,3.0%,1000,1030.0,2.6%,0%,2.6%,1000,1026.0
total,ANTUSDT,256.83,8,8,0,100.0%,24.0%,0%,24.0%,1000,1240.0,39.28%,0%,39.28%,1000,1392.8
total,API3USDT,165.33,4,4,0,100.0%,10.0%,0%,10.0%,1000,1100.0,18.04%,0%,18.04%,1000,1180.4
total,FETUSDT,170.67,4,4,0,100.0%,12.0%,0%,12.0%,1000,1120.0,22.72%,0%,22.72%,1000,1227.2
total,MKRUSDT,224.33,7,7,0,100.0%,21.0%,0%,21.0%,1000,1210.0,33.6%,0%,33.6%,1000,1336.0
total,PERPUSDT,216.83,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,25.32%,0%,25.32%,1000,1253.2
total,COCOSUSDT,66.83,2,2,0,100.0%,4.0%,0%,4.0%,1000,1040.0,6.68%,0%,6.68%,1000,1066.8
total,VETUSDT,308.5,13,13,0,100.0%,29.0%,0%,29.0%,1000,1290.0,50.44%,0%,50.44%,1000,1504.4
total,MANAUSDT,198.17,5,5,0,100.0%,13.0%,0%,13.0%,1000,1130.0,23.72%,0%,23.72%,1000,1237.2
total,TOMOUSDT,341.17,15,14,1,93.33%,38.0%,-6.0%,32.0%,1000,1320.0,51.68%,-6.0%,45.68%,1000,1456.8
total,RLCUSDT,291.0,14,13,1,92.86%,35.0%,-6.0%,29.0%,1000,1290.0,49.08%,-6.0%,43.08%,1000,1430.8
total,1INCHUSDT,327.0,13,12,1,92.31%,26.0%,-6.0%,20.0%,1000,1200.0,35.52%,-6.0%,29.52%,1000,1295.2
total,CHZUSDT,308.0,13,12,1,92.31%,30.0%,-6.0%,24.0%,1000,1240.0,47.96%,-6.0%,41.96%,1000,1419.6
total,BNBUSDT,295.83,12,11,1,91.67%,27.0%,-6.0%,21.0%,1000,1210.0,42.28%,-6.0%,36.28%,1000,1362.8
total,LTCUSDT,326.17,12,11,1,91.67%,31.0%,-6.0%,25.0%,1000,1250.0,54.72%,-6.0%,48.72%,1000,1487.2
total,STMXUSDT,317.67,11,10,1,90.91%,28.0%,-6.0%,22.0%,1000,1220.0,45.96%,-6.0%,39.96%,1000,1399.6
total,GTCUSDT,273.17,11,10,1,90.91%,22.0%,-6.0%,16.0%,1000,1160.0,35.0%,-6.0%,29.0%,1000,1290.0
total,SXPUSDT,240.83,11,10,1,90.91%,24.0%,-6.0%,18.0%,1000,1180.0,39.68%,-6.0%,33.68%,1000,1336.8
total,OMGUSDT,264.33,10,9,1,90.0%,25.0%,-6.0%,19.0%,1000,1190.0,37.2%,-6.0%,31.2%,1000,1312.0
total,IOSTUSDT,300.0,10,9,1,90.0%,21.0%,-6.0%,15.0%,1000,1150.0,27.84%,-6.0%,21.84%,1000,1218.4
total,FLMUSDT,216.83,10,9,1,90.0%,23.0%,-6.0%,17.0%,1000,1170.0,38.68%,-6.0%,32.68%,1000,1326.8
total,CELRUSDT,311.17,10,9,1,90.0%,25.0%,-6.0%,19.0%,1000,1190.0,37.2%,-6.0%,31.2%,1000,1312.0
total,DUSKUSDT,268.33,10,9,1,90.0%,27.0%,-6.0%,21.0%,1000,1210.0,44.96%,-6.0%,38.96%,1000,1389.6
total,BAKEUSDT,213.67,9,8,1,88.89%,22.0%,-6.0%,16.0%,1000,1160.0,34.6%,-6.0%,28.6%,1000,1286.0
total,FXSUSDT,302.17,9,8,1,88.89%,22.0%,-6.0%,16.0%,1000,1160.0,31.52%,-6.0%,25.52%,1000,1255.2
