type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,KLAYUSDT,383.0,15,15,0,100.0%,37.0%,0%,37.0%,1000,1370.0,63.4%,0%,63.4%,1000,1634.0
total,MATICUSDT,376.67,13,13,0,100.0%,37.0%,0%,37.0%,1000,1370.0,63.0%,0%,63.0%,1000,1630.0
total,MAGICUSDT,129.0,5,5,0,100.0%,15.0%,0%,15.0%,1000,1150.0,22.24%,0%,22.24%,1000,1222.4
total,ONEUSDT,375.0,15,15,0,100.0%,43.0%,0%,43.0%,1000,1430.0,68.2%,0%,68.2%,1000,1682.0
total,KSMUSDT,363.5,16,16,0,100.0%,42.0%,0%,42.0%,1000,1420.0,67.6%,0%,67.6%,1000,1676.0
total,BNXUSDT,319.0,7,7,0,100.0%,19.0%,0%,19.0%,1000,1190.0,28.92%,0%,28.92%,1000,1289.2
total,RSRUSDT,375.0,17,17,0,100.0%,45.0%,0%,45.0%,1000,1450.0,73.28%,0%,73.28%,1000,1732.8
total,YFIUSDT,366.83,9,9,0,100.0%,21.0%,0%,21.0%,1000,1210.0,27.84%,0%,27.84%,1000,1278.4
total,SSVUSDT,28.67,4,4,0,100.0%,12.0%,0%,12.0%,1000,1120.0,22.72%,0%,22.72%,1000,1227.2
total,ADAUSDT,380.0,13,13,0,100.0%,33.0%,0%,33.0%,1000,1330.0,53.64%,0%,53.64%,1000,1536.4
total,TRBUSDT,354.83,13,13,0,100.0%,35.0%,0%,35.0%,1000,1350.0,55.24%,0%,55.24%,1000,1552.4
total,COMPUSDT,374.0,11,11,0,100.0%,33.0%,0%,33.0%,1000,1330.0,56.32%,0%,56.32%,1000,1563.2
total,WAVESUSDT,373.0,18,17,1,94.44%,49.0%,-6.0%,43.0%,1000,1430.0,82.64%,-6.0%,76.64%,1000,1766.4
total,LINAUSDT,360.17,17,16,1,94.12%,44.0%,-6.0%,38.0%,1000,1380.0,72.28%,-6.0%,66.28%,1000,1662.8
total,CRVUSDT,374.17,17,16,1,94.12%,40.0%,-6.0%,34.0%,1000,1340.0,59.84%,-6.0%,53.84%,1000,1538.4
total,BANDUSDT,373.83,17,16,1,94.12%,44.0%,-6.0%,38.0%,1000,1380.0,59.96%,-6.0%,53.96%,1000,1539.6
total,RLCUSDT,374.83,16,15,1,93.75%,39.0%,-6.0%,33.0%,1000,1330.0,58.84%,-6.0%,52.84%,1000,1528.4
total,BLZUSDT,371.83,16,15,1,93.75%,39.0%,-6.0%,33.0%,1000,1330.0,65.0%,-6.0%,59.0%,1000,1590.0
total,ATAUSDT,372.17,15,14,1,93.33%,38.0%,-6.0%,32.0%,1000,1320.0,64.0%,-6.0%,58.0%,1000,1580.0
total,COTIUSDT,381.17,15,14,1,93.33%,38.0%,-6.0%,32.0%,1000,1320.0,64.0%,-6.0%,58.0%,1000,1580.0
total,IOTAUSDT,375.33,15,14,1,93.33%,38.0%,-6.0%,32.0%,1000,1320.0,57.84%,-6.0%,51.84%,1000,1518.4
total,LRCUSDT,372.5,15,14,1,93.33%,38.0%,-6.0%,32.0%,1000,1320.0,64.0%,-6.0%,58.0%,1000,1580.0
total,GRTUSDT,365.0,15,14,1,93.33%,40.0%,-6.0%,34.0%,1000,1340.0,65.6%,-6.0%,59.6%,1000,1596.0
total,GALUSDT,331.0,15,14,1,93.33%,38.0%,-6.0%,32.0%,1000,1320.0,67.08%,-6.0%,61.08%,1000,1610.8
total,THETAUSDT,376.83,15,14,1,93.33%,38.0%,-6.0%,32.0%,1000,1320.0,64.0%,-6.0%,58.0%,1000,1580.0
total,DOTUSDT,358.0,15,14,1,93.33%,40.0%,-6.0%,34.0%,1000,1340.0,65.6%,-6.0%,59.6%,1000,1596.0
total,CELRUSDT,374.83,14,13,1,92.86%,37.0%,-6.0%,31.0%,1000,1310.0,63.0%,-6.0%,57.0%,1000,1570.0
total,ZENUSDT,369.33,14,13,1,92.86%,35.0%,-6.0%,29.0%,1000,1290.0,55.24%,-6.0%,49.24%,1000,1492.4
total,ALGOUSDT,366.5,14,13,1,92.86%,37.0%,-6.0%,31.0%,1000,1310.0,63.0%,-6.0%,57.0%,1000,1570.0
total,VETUSDT,375.33,14,13,1,92.86%,35.0%,-6.0%,29.0%,1000,1290.0,58.32%,-6.0%,52.32%,1000,1523.2
total,OGNUSDT,370.0,14,13,1,92.86%,35.0%,-6.0%,29.0%,1000,1290.0,55.24%,-6.0%,49.24%,1000,1492.4
total,SUSHIUSDT,378.5,14,13,1,92.86%,37.0%,-6.0%,31.0%,1000,1310.0,59.92%,-6.0%,53.92%,1000,1539.2
total,STGUSDT,249.33,13,12,1,92.31%,30.0%,-6.0%,24.0%,1000,1240.0,41.8%,-6.0%,35.8%,1000,1358.0
total,BCHUSDT,379.17,13,12,1,92.31%,32.0%,-6.0%,26.0%,1000,1260.0,49.56%,-6.0%,43.56%,1000,1435.6
total,KNCUSDT,328.0,13,12,1,92.31%,28.0%,-6.0%,22.0%,1000,1220.0,43.28%,-6.0%,37.28%,1000,1372.8
total,CVXUSDT,380.5,24,22,2,91.67%,54.0%,-12.0%,42.0%,1000,1420.0,69.16%,-12.0%,57.16%,1000,1571.6
total,SPELLUSDT,376.5,12,11,1,91.67%,27.0%,-6.0%,21.0%,1000,1210.0,36.12%,-6.0%,30.12%,1000,1301.2
total,DGBUSDT,369.33,11,10,1,90.91%,26.0%,-6.0%,20.0%,1000,1200.0,38.2%,-6.0%,32.2%,1000,1322.0
total,ETCUSDT,357.67,11,10,1,90.91%,28.0%,-6.0%,22.0%,1000,1220.0,45.96%,-6.0%,39.96%,1000,1399.6
total,DASHUSDT,346.0,11,10,1,90.91%,24.0%,-6.0%,18.0%,1000,1180.0,36.6%,-6.0%,30.6%,1000,1306.0
total,UNIUSDT,376.83,11,10,1,90.91%,24.0%,-6.0%,18.0%,1000,1180.0,36.6%,-6.0%,30.6%,1000,1306.0
total,ETHUSDT,355.5,11,10,1,90.91%,22.0%,-6.0%,16.0%,1000,1160.0,38.08%,-6.0%,32.08%,1000,1320.8
total,MANAUSDT,379.0,21,19,2,90.48%,49.0%,-12.0%,37.0%,1000,1370.0,86.12%,-12.0%,74.12%,1000,1741.2
total,HBARUSDT,376.83,21,19,2,90.48%,49.0%,-12.0%,37.0%,1000,1370.0,79.96%,-12.0%,67.96%,1000,1679.6
total,ARUSDT,381.67,21,19,2,90.48%,55.0%,-12.0%,43.0%,1000,1430.0,84.76%,-12.0%,72.76%,1000,1727.6
total,XEMUSDT,361.5,18,16,2,88.89%,44.0%,-12.0%,32.0%,1000,1320.0,66.12%,-12.0%,54.12%,1000,1541.2
total,FLOWUSDT,363.83,18,16,2,88.89%,42.0%,-12.0%,30.0%,1000,1300.0,70.68%,-12.0%,58.68%,1000,1586.8
total,AVAXUSDT,380.0,17,15,2,88.24%,45.0%,-12.0%,33.0%,1000,1330.0,72.88%,-12.0%,60.88%,1000,1608.8
total,EGLDUSDT,367.67,17,15,2,88.24%,41.0%,-12.0%,29.0%,1000,1290.0,66.6%,-12.0%,54.6%,1000,1546.0
total,OCEANUSDT,366.83,17,15,2,88.24%,35.0%,-12.0%,23.0%,1000,1230.0,52.56%,-12.0%,40.56%,1000,1405.6
total,AAVEUSDT,374.0,16,14,2,87.5%,40.0%,-12.0%,28.0%,1000,1280.0,56.36%,-12.0%,44.36%,1000,1443.6
total,API3USDT,372.17,16,14,2,87.5%,38.0%,-12.0%,26.0%,1000,1260.0,67.08%,-12.0%,55.08%,1000,1550.8
total,WOOUSDT,364.17,16,14,2,87.5%,40.0%,-12.0%,28.0%,1000,1280.0,71.76%,-12.0%,59.76%,1000,1597.6
total,ROSEUSDT,366.0,15,13,2,86.67%,37.0%,-12.0%,25.0%,1000,1250.0,63.0%,-12.0%,51.0%,1000,1510.0
total,FTMUSDT,376.83,15,13,2,86.67%,37.0%,-12.0%,25.0%,1000,1250.0,63.0%,-12.0%,51.0%,1000,1510.0
total,SKLUSDT,376.67,22,19,3,86.36%,55.0%,-18.0%,37.0%,1000,1370.0,84.76%,-18.0%,66.76%,1000,1667.6
total,HOTUSDT,366.5,14,12,2,85.71%,32.0%,-12.0%,20.0%,1000,1200.0,52.64%,-12.0%,40.64%,1000,1406.4
total,AXSUSDT,375.5,20,17,3,85.0%,45.0%,-18.0%,27.0%,1000,1270.0,73.28%,-18.0%,55.28%,1000,1552.8
total,CFXUSDT,379.5,20,17,3,85.0%,43.0%,-18.0%,25.0%,1000,1250.0,62.44%,-18.0%,44.44%,1000,1444.4
total,NEARUSDT,381.0,20,17,3,85.0%,49.0%,-18.0%,31.0%,1000,1310.0,70.32%,-18.0%,52.32%,1000,1523.2
total,LTCUSDT,362.67,13,11,2,84.62%,27.0%,-12.0%,15.0%,1000,1150.0,45.36%,-12.0%,33.36%,1000,1333.6
total,LITUSDT,372.5,13,11,2,84.62%,31.0%,-12.0%,19.0%,1000,1190.0,57.8%,-12.0%,45.8%,1000,1458.0
total,RVNUSDT,378.83,19,16,3,84.21%,46.0%,-18.0%,28.0%,1000,1280.0,80.04%,-18.0%,62.04%,1000,1620.4
total,RUNEUSDT,374.0,19,16,3,84.21%,44.0%,-18.0%,26.0%,1000,1260.0,72.28%,-18.0%,54.28%,1000,1542.8
total,IMXUSDT,373.67,19,16,3,84.21%,42.0%,-18.0%,24.0%,1000,1240.0,73.76%,-18.0%,55.76%,1000,1557.6
total,INJUSDT,381.5,12,10,2,83.33%,26.0%,-12.0%,14.0%,1000,1140.0,41.28%,-12.0%,29.28%,1000,1292.8
total,ALPHAUSDT,371.83,18,15,3,83.33%,43.0%,-18.0%,25.0%,1000,1250.0,65.12%,-18.0%,47.12%,1000,1471.2
total,IOTXUSDT,355.0,12,10,2,83.33%,30.0%,-12.0%,18.0%,1000,1180.0,50.64%,-12.0%,38.64%,1000,1386.4
total,ZILUSDT,369.33,12,10,2,83.33%,28.0%,-12.0%,16.0%,1000,1160.0,49.04%,-12.0%,37.04%,1000,1370.4
total,CTKUSDT,363.67,12,10,2,83.33%,22.0%,-12.0%,10.0%,1000,1100.0,35.0%,-12.0%,23.0%,1000,1230.0
total,STMXUSDT,368.67,12,10,2,83.33%,28.0%,-12.0%,16.0%,1000,1160.0,36.72%,-12.0%,24.72%,1000,1247.2
total,MASKUSDT,367.5,17,14,3,82.35%,38.0%,-18.0%,20.0%,1000,1200.0,57.84%,-18.0%,39.84%,1000,1398.4
total,ACHUSDT,376.67,17,14,3,82.35%,38.0%,-18.0%,20.0%,1000,1200.0,60.92%,-18.0%,42.92%,1000,1429.2
total,MKRUSDT,374.0,17,14,3,82.35%,38.0%,-18.0%,20.0%,1000,1200.0,67.08%,-18.0%,49.08%,1000,1490.8
total,CELOUSDT,362.0,17,14,3,82.35%,38.0%,-18.0%,20.0%,1000,1200.0,54.76%,-18.0%,36.76%,1000,1367.6
total,AMBBUSD,219.33,11,9,2,81.82%,25.0%,-12.0%,13.0%,1000,1130.0,43.36%,-12.0%,31.36%,1000,1313.6
total,SNXUSDT,363.83,11,9,2,81.82%,27.0%,-12.0%,15.0%,1000,1150.0,44.96%,-12.0%,32.96%,1000,1329.6
total,RNDRUSDT,381.17,11,9,2,81.82%,23.0%,-12.0%,11.0%,1000,1110.0,35.6%,-12.0%,23.6%,1000,1236.0
